0.00000E+0;3.15107E+2;3.09999E+2;3.04986E+2;2.99945E+2;2.94984E+2;2.89919E+2;2.84965E+2;2.79945E+2;2.74986E+2;2.69970E+2;2.64937E+2;2.59987E+2;2.54958E+2;2.50007E+2;2.45007E+2;2.39973E+2;2.34958E+2;2.29918E+2;2.24895E+2;2.19953E+2;2.14915E+2;2.09903E+2;2.04850E+2;1.99934E+2;1.94914E+2;1.89972E+2;1.84919E+2;1.79948E+2;1.74895E+2;1.69915E+2;1.64957E+2;1.59982E+2;1.54901E+2;1.49917E+2;1.44946E+2;1.39976E+2;1.34888E+2;1.29907E+2;1.24938E+2;1.19958E+2;1.14956E+2;1.09965E+2;1.04964E+2;9.99730E+1;9.49715E+1;8.99681E+1;8.49618E+1;7.99266E+1;7.49120E+1;6.99536E+1;6.49036E+1;5.99048E+1;5.49264E+1;4.98797E+1;4.49963E+1;3.99098E+1;3.49524E+1;2.98479E+1;2.49914E+1;1.99787E+1;1.49539E+1;9.67834E+0
5.00000E-3;2.83050E-1;3.05602E-1;3.11983E-1;3.21344E-1;3.34987E-1;3.29506E-1;3.38540E-1;3.29336E-1;3.30203E-1;3.42490E-1;3.34555E-1;3.42407E-1;3.40885E-1;3.39045E-1;3.49398E-1;3.31963E-1;3.40181E-1;3.33451E-1;3.35346E-1;3.39585E-1;3.37499E-1;3.38384E-1;3.43992E-1;3.45282E-1;3.47340E-1;3.50746E-1;3.58362E-1;3.60389E-1;3.64279E-1;3.71698E-1;3.72142E-1;3.77689E-1;3.86865E-1;3.90028E-1;3.97295E-1;4.04954E-1;4.14250E-1;4.23001E-1;4.33655E-1;4.43873E-1;4.54779E-1;4.69299E-1;4.84472E-1;4.97619E-1;5.16394E-1;5.30766E-1;5.50976E-1;5.70291E-1;5.91390E-1;6.15476E-1;6.38359E-1;6.61655E-1;6.85848E-1;7.09355E-1;7.33166E-1;7.56523E-1;7.76128E-1;7.93604E-1;8.07343E-1;8.19747E-1;8.28077E-1;8.32501E-1
4.90000E-3;2.77382E-1;2.99473E-1;3.05729E-1;3.14893E-1;3.28247E-1;3.22872E-1;3.31695E-1;3.22714E-1;3.23544E-1;3.35556E-1;3.27787E-1;3.35520E-1;3.34039E-1;3.32240E-1;3.42380E-1;3.25301E-1;3.33350E-1;3.26759E-1;3.28615E-1;3.32768E-1;3.30724E-1;3.31592E-1;3.37089E-1;3.38351E-1;3.40371E-1;3.43709E-1;3.51171E-1;3.53158E-1;3.56969E-1;3.64236E-1;3.64674E-1;3.70108E-1;3.79100E-1;3.82201E-1;3.89320E-1;3.96827E-1;4.05936E-1;4.14512E-1;4.24954E-1;4.34964E-1;4.45651E-1;4.59880E-1;4.74745E-1;4.87628E-1;5.06022E-1;5.20102E-1;5.39902E-1;5.58820E-1;5.79480E-1;6.03066E-1;6.25470E-1;6.48257E-1;6.71934E-1;6.94936E-1;7.18236E-1;7.41099E-1;7.60303E-1;7.77442E-1;7.90930E-1;8.03117E-1;8.11318E-1;8.15740E-1
4.80000E-3;2.71714E-1;2.93345E-1;2.99477E-1;3.08447E-1;3.21517E-1;3.16244E-1;3.24882E-1;3.16103E-1;3.16891E-1;3.28636E-1;3.21048E-1;3.28632E-1;3.27199E-1;3.25432E-1;3.35360E-1;3.18641E-1;3.26519E-1;3.20069E-1;3.21887E-1;3.25951E-1;3.23953E-1;3.24802E-1;3.30186E-1;3.31421E-1;3.33403E-1;3.36671E-1;3.43978E-1;3.45926E-1;3.49661E-1;3.56776E-1;3.57207E-1;3.62529E-1;3.71336E-1;3.74378E-1;3.81349E-1;3.88703E-1;3.97625E-1;4.06024E-1;4.16255E-1;4.26058E-1;4.36527E-1;4.50463E-1;4.65022E-1;4.77640E-1;4.95657E-1;5.09446E-1;5.28834E-1;5.47360E-1;5.67584E-1;5.90679E-1;6.12615E-1;6.34913E-1;6.58093E-1;6.80611E-1;7.03430E-1;7.25823E-1;7.44646E-1;7.61446E-1;7.74675E-1;7.86620E-1;7.94658E-1;7.99028E-1
4.70000E-3;2.66048E-1;2.87221E-1;2.93227E-1;3.02003E-1;3.14788E-1;3.09625E-1;3.18080E-1;3.09496E-1;3.10243E-1;3.21731E-1;3.14324E-1;3.21754E-1;3.20361E-1;3.18630E-1;3.28344E-1;3.11982E-1;3.19694E-1;3.13380E-1;3.15160E-1;3.19138E-1;3.17183E-1;3.18015E-1;3.23285E-1;3.24495E-1;3.26436E-1;3.29634E-1;3.36792E-1;3.38700E-1;3.42355E-1;3.49319E-1;3.49743E-1;3.54955E-1;3.63575E-1;3.66555E-1;3.73381E-1;3.80581E-1;3.89316E-1;3.97540E-1;4.07558E-1;4.17155E-1;4.27405E-1;4.41050E-1;4.55303E-1;4.67657E-1;4.85295E-1;4.98796E-1;5.17775E-1;5.35912E-1;5.55703E-1;5.78310E-1;5.99784E-1;6.21603E-1;6.44292E-1;6.66336E-1;6.88680E-1;7.10608E-1;7.29047E-1;7.45506E-1;7.58462E-1;7.70169E-1;7.78050E-1;7.82333E-1
4.60000E-3;2.60380E-1;2.81096E-1;2.86979E-1;2.95561E-1;3.08067E-1;3.03010E-1;3.11277E-1;3.02890E-1;3.03609E-1;3.14850E-1;3.07596E-1;3.14887E-1;3.13522E-1;3.11830E-1;3.21333E-1;3.05322E-1;3.12869E-1;3.06692E-1;3.08435E-1;3.12327E-1;3.10414E-1;3.11228E-1;3.16386E-1;3.17569E-1;3.19470E-1;3.22600E-1;3.29604E-1;3.31471E-1;3.35046E-1;3.41863E-1;3.42280E-1;3.47380E-1;3.55817E-1;3.58734E-1;3.65412E-1;3.72460E-1;3.81010E-1;3.89056E-1;3.98861E-1;4.08252E-1;4.18285E-1;4.31638E-1;4.45586E-1;4.57677E-1;4.74934E-1;4.88146E-1;5.06719E-1;5.24466E-1;5.43828E-1;5.65949E-1;5.86964E-1;6.08307E-1;6.30512E-1;6.52085E-1;6.73952E-1;6.95423E-1;7.13475E-1;7.29588E-1;7.42275E-1;7.53733E-1;7.61450E-1;7.65653E-1
4.50000E-3;2.54713E-1;2.74975E-1;2.80731E-1;2.89125E-1;3.01346E-1;2.96397E-1;3.04482E-1;2.96286E-1;2.96974E-1;3.07957E-1;3.00884E-1;3.08022E-1;3.06688E-1;3.05032E-1;3.14325E-1;2.98666E-1;3.06047E-1;3.00008E-1;3.01711E-1;3.05517E-1;3.03648E-1;3.04446E-1;3.09489E-1;3.10644E-1;3.12507E-1;3.15569E-1;3.22419E-1;3.24245E-1;3.27743E-1;3.34410E-1;3.34819E-1;3.39809E-1;3.48061E-1;3.50916E-1;3.57448E-1;3.64341E-1;3.72705E-1;3.80578E-1;3.90167E-1;3.99354E-1;4.09168E-1;4.22231E-1;4.35875E-1;4.47700E-1;4.64582E-1;4.77506E-1;4.95671E-1;5.13029E-1;5.31965E-1;5.53604E-1;5.74159E-1;5.95032E-1;6.16755E-1;6.37860E-1;6.59254E-1;6.80262E-1;6.97928E-1;7.13690E-1;7.26109E-1;7.37322E-1;7.44875E-1;7.48986E-1
4.40000E-3;2.49045E-1;2.68854E-1;2.74484E-1;2.82687E-1;2.94629E-1;2.89786E-1;2.97685E-1;2.89682E-1;2.90337E-1;3.01075E-1;2.94165E-1;3.01151E-1;2.99854E-1;2.98234E-1;3.07319E-1;2.92009E-1;2.99225E-1;2.93321E-1;2.94987E-1;2.98708E-1;2.96881E-1;2.97663E-1;3.02593E-1;3.03722E-1;3.05544E-1;3.08537E-1;3.15234E-1;3.17020E-1;3.20439E-1;3.26959E-1;3.27358E-1;3.32237E-1;3.40306E-1;3.43097E-1;3.49485E-1;3.56222E-1;3.64401E-1;3.72098E-1;3.81476E-1;3.90457E-1;4.00053E-1;4.12825E-1;4.26166E-1;4.37725E-1;4.54232E-1;4.66866E-1;4.84625E-1;5.01595E-1;5.20104E-1;5.41266E-1;5.61355E-1;5.81765E-1;6.03011E-1;6.23644E-1;6.44568E-1;6.65107E-1;6.82387E-1;6.97806E-1;7.09952E-1;7.20913E-1;7.28303E-1;7.32325E-1
4.30000E-3;2.43379E-1;2.62735E-1;2.68238E-1;2.76250E-1;2.87913E-1;2.83182E-1;2.90899E-1;2.83085E-1;2.83710E-1;2.94197E-1;2.87455E-1;2.94293E-1;2.93023E-1;2.91439E-1;3.00315E-1;2.85355E-1;2.92406E-1;2.86638E-1;2.88265E-1;2.91901E-1;2.90117E-1;2.90881E-1;2.95698E-1;2.96803E-1;2.98584E-1;3.01510E-1;3.08053E-1;3.09796E-1;3.13137E-1;3.19508E-1;3.19900E-1;3.24668E-1;3.32551E-1;3.35280E-1;3.41524E-1;3.48107E-1;3.56100E-1;3.63621E-1;3.72787E-1;3.81563E-1;3.90940E-1;4.03421E-1;4.16459E-1;4.27756E-1;4.43884E-1;4.56232E-1;4.73584E-1;4.90168E-1;5.08255E-1;5.28936E-1;5.48567E-1;5.68513E-1;5.89277E-1;6.09445E-1;6.29895E-1;6.49970E-1;6.66859E-1;6.81932E-1;6.93806E-1;7.04515E-1;7.11737E-1;7.15664E-1
4.20000E-3;2.37713E-1;2.56615E-1;2.61992E-1;2.69814E-1;2.81199E-1;2.76579E-1;2.84110E-1;2.76487E-1;2.77088E-1;2.87327E-1;2.80743E-1;2.87429E-1;2.86190E-1;2.84642E-1;2.93310E-1;2.78702E-1;2.85587E-1;2.79955E-1;2.81543E-1;2.85096E-1;2.83354E-1;2.84100E-1;2.88803E-1;2.89882E-1;2.91622E-1;2.94481E-1;3.00871E-1;3.02575E-1;3.05838E-1;3.12061E-1;3.12444E-1;3.17099E-1;3.24799E-1;3.27465E-1;3.33562E-1;3.39994E-1;3.47801E-1;3.55146E-1;3.64100E-1;3.72670E-1;3.81830E-1;3.94019E-1;4.06752E-1;4.17789E-1;4.33538E-1;4.45599E-1;4.62549E-1;4.78746E-1;4.96412E-1;5.16609E-1;5.35785E-1;5.55267E-1;5.75551E-1;5.95253E-1;6.15232E-1;6.34842E-1;6.51341E-1;6.66064E-1;6.77661E-1;6.88124E-1;6.95175E-1;6.99011E-1
