0.00000E+0;3.10110E+2;3.04981E+2;2.99988E+2;2.94999E+2;2.89885E+2;2.84940E+2;2.79902E+2;2.74966E+2;2.69941E+2;2.64929E+2;2.59908E+2;2.54900E+2;2.49883E+2;2.44885E+2;2.39877E+2;2.34898E+2;2.29986E+2;2.24987E+2;2.19986E+2;2.14975E+2;2.09979E+2;2.04950E+2;1.99947E+2;1.94954E+2;1.89939E+2;1.84937E+2;1.79938E+2;1.74935E+2;1.69928E+2;1.64936E+2;1.59905E+2;1.54928E+2;1.49954E+2;1.44982E+2;1.39888E+2;1.34902E+2;1.29929E+2;1.24967E+2;1.19985E+2;1.14988E+2;1.09889E+2;1.04902E+2;9.99123E+1;9.49129E+1;8.99020E+1;8.48985E+1;7.99870E+1;7.49500E+1;6.99047E+1;6.49562E+1;6.00129E+1;5.48902E+1;4.98805E+1;4.48498E+1;3.99805E+1;3.48782E+1;3.00383E+1;2.49057E+1;1.97865E+1;1.47535E+1;9.46688E+0
5.00000E-3;5.03016E-1;5.02964E-1;5.02916E-1;5.02865E-1;5.02815E-1;5.02767E-1;5.02704E-1;5.02645E-1;5.02586E-1;5.02520E-1;5.02438E-1;5.02363E-1;5.02292E-1;5.02200E-1;5.02103E-1;5.02017E-1;5.01911E-1;5.01808E-1;5.01700E-1;5.01571E-1;5.01443E-1;5.01315E-1;5.01168E-1;5.01022E-1;5.00864E-1;5.00692E-1;5.00514E-1;5.00338E-1;5.00133E-1;4.99922E-1;4.99707E-1;4.99482E-1;4.99246E-1;4.98985E-1;4.98713E-1;4.98431E-1;4.98135E-1;4.97807E-1;4.97482E-1;4.97132E-1;4.96754E-1;4.96364E-1;4.95957E-1;4.95537E-1;4.95098E-1;4.94644E-1;4.94182E-1;4.93697E-1;4.93191E-1;4.92682E-1;4.92162E-1;4.91615E-1;4.91071E-1;4.90528E-1;4.90020E-1;4.89474E-1;4.89003E-1;4.88520E-1;4.88039E-1;4.87587E-1;4.86917E-1
4.90000E-3;4.92945E-1;4.92893E-1;4.92848E-1;4.92797E-1;4.92748E-1;4.92700E-1;4.92639E-1;4.92582E-1;4.92522E-1;4.92458E-1;4.92377E-1;4.92305E-1;4.92234E-1;4.92144E-1;4.92049E-1;4.91965E-1;4.91861E-1;4.91760E-1;4.91654E-1;4.91527E-1;4.91401E-1;4.91277E-1;4.91132E-1;4.90989E-1;4.90835E-1;4.90665E-1;4.90492E-1;4.90319E-1;4.90118E-1;4.89912E-1;4.89701E-1;4.89480E-1;4.89249E-1;4.88993E-1;4.88727E-1;4.88450E-1;4.88160E-1;4.87838E-1;4.87520E-1;4.87177E-1;4.86807E-1;4.86424E-1;4.86026E-1;4.85614E-1;4.85184E-1;4.84739E-1;4.84285E-1;4.83811E-1;4.83316E-1;4.82818E-1;4.82307E-1;4.81773E-1;4.81239E-1;4.80708E-1;4.80210E-1;4.79675E-1;4.79213E-1;4.78741E-1;4.78269E-1;4.77826E-1;4.77169E-1
4.80000E-3;4.82871E-1;4.82820E-1;4.82776E-1;4.82726E-1;4.82678E-1;4.82632E-1;4.82572E-1;4.82516E-1;4.82458E-1;4.82396E-1;4.82317E-1;4.82246E-1;4.82177E-1;4.82088E-1;4.81994E-1;4.81913E-1;4.81811E-1;4.81713E-1;4.81608E-1;4.81485E-1;4.81362E-1;4.81240E-1;4.81098E-1;4.80957E-1;4.80806E-1;4.80639E-1;4.80470E-1;4.80301E-1;4.80103E-1;4.79902E-1;4.79696E-1;4.79478E-1;4.79252E-1;4.79001E-1;4.78741E-1;4.78470E-1;4.78185E-1;4.77870E-1;4.77559E-1;4.77223E-1;4.76861E-1;4.76486E-1;4.76096E-1;4.75692E-1;4.75270E-1;4.74834E-1;4.74391E-1;4.73927E-1;4.73441E-1;4.72952E-1;4.72450E-1;4.71928E-1;4.71404E-1;4.70884E-1;4.70397E-1;4.69872E-1;4.69420E-1;4.68957E-1;4.68496E-1;4.68060E-1;4.67418E-1
4.70000E-3;4.72800E-1;4.72751E-1;4.72707E-1;4.72660E-1;4.72611E-1;4.72565E-1;4.72508E-1;4.72452E-1;4.72394E-1;4.72334E-1;4.72258E-1;4.72188E-1;4.72119E-1;4.72034E-1;4.71941E-1;4.71862E-1;4.71762E-1;4.71665E-1;4.71563E-1;4.71441E-1;4.71322E-1;4.71202E-1;4.71064E-1;4.70925E-1;4.70779E-1;4.70614E-1;4.70450E-1;4.70283E-1;4.70090E-1;4.69892E-1;4.69689E-1;4.69479E-1;4.69256E-1;4.69011E-1;4.68756E-1;4.68490E-1;4.68211E-1;4.67902E-1;4.67599E-1;4.67270E-1;4.66914E-1;4.66548E-1;4.66166E-1;4.65770E-1;4.65358E-1;4.64930E-1;4.64496E-1;4.64042E-1;4.63566E-1;4.63088E-1;4.62598E-1;4.62087E-1;4.61573E-1;4.61064E-1;4.60587E-1;4.60074E-1;4.59631E-1;4.59178E-1;4.58726E-1;4.58300E-1;4.57671E-1
4.60000E-3;4.62729E-1;4.62680E-1;4.62638E-1;4.62591E-1;4.62544E-1;4.62499E-1;4.62443E-1;4.62388E-1;4.62332E-1;4.62273E-1;4.62199E-1;4.62131E-1;4.62063E-1;4.61980E-1;4.61890E-1;4.61812E-1;4.61714E-1;4.61619E-1;4.61518E-1;4.61399E-1;4.61283E-1;4.61165E-1;4.61030E-1;4.60894E-1;4.60751E-1;4.60589E-1;4.60429E-1;4.60265E-1;4.60077E-1;4.59883E-1;4.59684E-1;4.59479E-1;4.59261E-1;4.59021E-1;4.58772E-1;4.58512E-1;4.58239E-1;4.57936E-1;4.57639E-1;4.57318E-1;4.56969E-1;4.56611E-1;4.56236E-1;4.55849E-1;4.55446E-1;4.55027E-1;4.54602E-1;4.54158E-1;4.53693E-1;4.53224E-1;4.52743E-1;4.52243E-1;4.51740E-1;4.51242E-1;4.50774E-1;4.50275E-1;4.49840E-1;4.49397E-1;4.48954E-1;4.48534E-1;4.47921E-1
4.50000E-3;4.52659E-1;4.52611E-1;4.52569E-1;4.52524E-1;4.52478E-1;4.52434E-1;4.52379E-1;4.52326E-1;4.52270E-1;4.52214E-1;4.52140E-1;4.52074E-1;4.52007E-1;4.51926E-1;4.51838E-1;4.51763E-1;4.51666E-1;4.51573E-1;4.51474E-1;4.51358E-1;4.51244E-1;4.51129E-1;4.50997E-1;4.50864E-1;4.50723E-1;4.50565E-1;4.50408E-1;4.50248E-1;4.50064E-1;4.49874E-1;4.49680E-1;4.49478E-1;4.49266E-1;4.49031E-1;4.48788E-1;4.48535E-1;4.48266E-1;4.47970E-1;4.47679E-1;4.47365E-1;4.47024E-1;4.46674E-1;4.46306E-1;4.45929E-1;4.45534E-1;4.45124E-1;4.44709E-1;4.44274E-1;4.43819E-1;4.43361E-1;4.42892E-1;4.42403E-1;4.41910E-1;4.41424E-1;4.40965E-1;4.40478E-1;4.40051E-1;4.39617E-1;4.39185E-1;4.38775E-1;4.38175E-1
4.40000E-3;4.42588E-1;4.42542E-1;4.42500E-1;4.42456E-1;4.42412E-1;4.42368E-1;4.42314E-1;4.42262E-1;4.42208E-1;4.42153E-1;4.42082E-1;4.42017E-1;4.41951E-1;4.41871E-1;4.41785E-1;4.41714E-1;4.41616E-1;4.41526E-1;4.41430E-1;4.41316E-1;4.41204E-1;4.41092E-1;4.40964E-1;4.40833E-1;4.40695E-1;4.40541E-1;4.40387E-1;4.40231E-1;4.40051E-1;4.39865E-1;4.39676E-1;4.39478E-1;4.39271E-1;4.39042E-1;4.38803E-1;4.38555E-1;4.38293E-1;4.38004E-1;4.37720E-1;4.37412E-1;4.37079E-1;4.36737E-1;4.36377E-1;4.36009E-1;4.35622E-1;4.35221E-1;4.34816E-1;4.34390E-1;4.33945E-1;4.33498E-1;4.33039E-1;4.32560E-1;4.32078E-1;4.31603E-1;4.31154E-1;4.30677E-1;4.30260E-1;4.29837E-1;4.29415E-1;4.29013E-1;4.28427E-1
4.30000E-3;4.32519E-1;4.32474E-1;4.32432E-1;4.32390E-1;4.32347E-1;4.32304E-1;4.32251E-1;4.32200E-1;4.32149E-1;4.32093E-1;4.32025E-1;4.31961E-1;4.31895E-1;4.31818E-1;4.31733E-1;4.31665E-1;4.31570E-1;4.31481E-1;4.31387E-1;4.31276E-1;4.31166E-1;4.31056E-1;4.30931E-1;4.30802E-1;4.30669E-1;4.30518E-1;4.30367E-1;4.30215E-1;4.30040E-1;4.29859E-1;4.29673E-1;4.29480E-1;4.29277E-1;4.29053E-1;4.28820E-1;4.28577E-1;4.28321E-1;4.28040E-1;4.27761E-1;4.27460E-1;4.27134E-1;4.26801E-1;4.26449E-1;4.26089E-1;4.25710E-1;4.25320E-1;4.24923E-1;4.24507E-1;4.24073E-1;4.23635E-1;4.23187E-1;4.22719E-1;4.22248E-1;4.21783E-1;4.21345E-1;4.20879E-1;4.20472E-1;4.20057E-1;4.19646E-1;4.19253E-1;4.18681E-1
4.20000E-3;4.22450E-1;4.22405E-1;4.22365E-1;4.22325E-1;4.22282E-1;4.22241E-1;4.22188E-1;4.22139E-1;4.22087E-1;4.22036E-1;4.21967E-1;4.21905E-1;4.21841E-1;4.21765E-1;4.21682E-1;4.21615E-1;4.21523E-1;4.21437E-1;4.21345E-1;4.21235E-1;4.21128E-1;4.21021E-1;4.20899E-1;4.20773E-1;4.20643E-1;4.20496E-1;4.20349E-1;4.20199E-1;4.20029E-1;4.19853E-1;4.19671E-1;4.19481E-1;4.19283E-1;4.19065E-1;4.18837E-1;4.18600E-1;4.18350E-1;4.18076E-1;4.17804E-1;4.17509E-1;4.17191E-1;4.16865E-1;4.16521E-1;4.16170E-1;4.15800E-1;4.15419E-1;4.15031E-1;4.14625E-1;4.14200E-1;4.13772E-1;4.13334E-1;4.12876E-1;4.12416E-1;4.11962E-1;4.11535E-1;4.11079E-1;4.10680E-1;4.10277E-1;4.09874E-1;4.09491E-1;4.08931E-1
