3.60000E-5;1.31131E+0;1.30837E+0;1.30727E+0;1.30899E+0;1.31507E+0;1.32568E+0;1.33923E+0;1.35486E+0;1.37239E+0;1.39187E+0;1.41316E+0;1.43657E+0;1.46234E+0;1.49028E+0;1.54600E+0
3.48000E-5;1.26772E+0;1.26488E+0;1.26383E+0;1.26549E+0;1.27137E+0;1.28162E+0;1.29473E+0;1.30986E+0;1.32680E+0;1.34565E+0;1.36624E+0;1.38890E+0;1.41381E+0;1.44084E+0;1.49476E+0
3.36000E-5;1.22414E+0;1.22138E+0;1.22037E+0;1.22197E+0;1.22763E+0;1.23754E+0;1.25020E+0;1.26483E+0;1.28120E+0;1.29939E+0;1.31929E+0;1.34120E+0;1.36527E+0;1.39138E+0;1.44348E+0
3.24000E-5;1.18052E+0;1.17787E+0;1.17689E+0;1.17844E+0;1.18390E+0;1.19345E+0;1.20566E+0;1.21977E+0;1.23555E+0;1.25311E+0;1.27232E+0;1.29346E+0;1.31669E+0;1.34190E+0;1.39217E+0
3.12000E-5;1.13689E+0;1.13435E+0;1.13341E+0;1.13489E+0;1.14016E+0;1.14937E+0;1.16112E+0;1.17472E+0;1.18992E+0;1.20683E+0;1.22534E+0;1.24570E+0;1.26809E+0;1.29239E+0;1.34083E+0
3.00000E-5;1.09326E+0;1.09080E+0;1.08991E+0;1.09132E+0;1.09641E+0;1.10526E+0;1.11658E+0;1.12964E+0;1.14428E+0;1.16054E+0;1.17835E+0;1.19794E+0;1.21948E+0;1.24285E+0;1.28945E+0
2.88000E-5;1.04961E+0;1.04726E+0;1.04638E+0;1.04774E+0;1.05264E+0;1.06113E+0;1.07202E+0;1.08456E+0;1.09862E+0;1.11423E+0;1.13134E+0;1.15016E+0;1.17085E+0;1.19330E+0;1.23806E+0
2.76000E-5;1.00596E+0;1.00371E+0;1.00287E+0;1.00416E+0;1.00886E+0;1.01701E+0;1.02744E+0;1.03945E+0;1.05294E+0;1.06791E+0;1.08431E+0;1.10237E+0;1.12220E+0;1.14373E+0;1.18665E+0
2.64000E-5;9.62400E-1;9.60255E-1;9.59460E-1;9.60704E-1;9.65230E-1;9.73017E-1;9.82991E-1;9.94466E-1;1.00724E+0;1.02157E+0;1.03727E+0;1.05455E+0;1.07354E+0;1.09415E+0;1.13522E+0
2.52000E-5;9.18707E-1;9.16663E-1;9.15910E-1;9.17104E-1;9.21426E-1;9.28864E-1;9.38379E-1;9.49351E-1;9.61662E-1;9.75362E-1;9.90361E-1;1.00672E+0;1.02485E+0;1.04453E+0;1.08376E+0
