I,T,Uraw
0.005,300.045,1.55714
0.005,298.405,1.55227
0.005,296.861,1.54781
0.005,294.854,1.542
0.005,292.831,1.53624
0.005,290.851,1.5306
0.005,288.906,1.52501
0.005,286.914,1.51933
0.005,284.855,1.51347
0.005,282.867,1.50778
0.005,280.924,1.50232
0.005,278.887,1.49649
0.005,276.888,1.49077
0.005,274.908,1.48523
0.005,272.909,1.47948
0.005,270.9,1.4738
0.005,268.896,1.46813
0.005,266.882,1.4624
0.005,264.851,1.45665
0.005,262.825,1.45096
0.005,260.88,1.44547
0.005,258.871,1.43984
0.005,256.854,1.43425
0.005,254.886,1.42869
0.005,252.854,1.42301
0.005,250.852,1.41739
0.005,248.841,1.41181
0.005,246.806,1.40614
0.005,244.855,1.40078
0.005,242.884,1.39533
0.005,240.871,1.38977
0.005,238.856,1.38425
0.005,236.873,1.37883
0.005,234.919,1.37345
0.005,232.893,1.36798
0.005,230.887,1.36278
0.005,228.859,1.35733
0.005,226.829,1.35181
0.005,224.877,1.34658
0.005,222.92,1.34139
0.005,220.904,1.33591
0.005,218.87,1.33055
0.005,216.832,1.32516
0.005,214.826,1.31974
0.005,212.867,1.31459
0.005,210.904,1.30947
0.005,208.883,1.30417
0.005,206.865,1.29892
0.005,204.855,1.29358
0.005,202.883,1.28844
0.005,200.933,1.28325
0.005,198.916,1.27815
0.005,196.888,1.2729
0.005,194.869,1.26771
0.005,192.84,1.26256
0.005,190.838,1.25742
0.005,188.88,1.25241
0.005,186.915,1.24676
0.005,184.913,1.24169
0.005,182.888,1.23663
0.005,180.872,1.23151
0.005,178.851,1.22647
0.005,176.835,1.22135
0.005,174.823,1.21631
0.005,172.817,1.2112
0.005,170.828,1.20616
0.005,168.876,1.20145
0.005,166.913,1.19652
0.005,164.912,1.1917
0.005,162.889,1.18674
0.005,160.876,1.18178
0.005,158.865,1.17697
0.005,156.855,1.17208
0.005,154.83,1.16719
0.005,152.806,1.1623
0.005,150.866,1.1578
0.005,148.896,1.15309
0.005,146.88,1.14814
0.005,144.856,1.14347
0.005,142.832,1.13866
0.005,140.868,1.13416
0.005,138.91,1.12956
0.005,136.884,1.12498
0.005,134.857,1.12031
0.005,132.839,1.11571
0.005,130.86,1.11124
0.005,128.909,1.10685
0.005,126.868,1.10221
0.005,124.843,1.0976
0.005,122.866,1.09318
0.005,120.896,1.08881
0.005,118.863,1.08436
0.005,116.823,1.08007
0.005,114.845,1.07578
0.005,112.868,1.0714
0.005,110.89,1.06724
0.005,108.927,1.06299
0.005,106.91,1.0586
0.005,104.888,1.0543
0.005,102.905,1.05021
0.005,100.895,1.04606
0.005,98.8867,1.04197
0.005,96.8821,1.03784
0.005,94.8858,1.03388
0.005,92.8833,1.02995
0.005,90.8814,1.02596
0.005,88.882,1.02217
0.005,86.8771,1.01846
0.005,84.8749,1.01464
0.005,82.8626,1.01093
0.005,80.8572,1.0073
0.005,78.8418,1.00376
0.005,76.8899,1.0002
0.005,74.8712,0.996685
0.005,72.853,0.993419
0.005,70.8949,0.990178
0.005,68.8891,0.986969
0.005,66.8286,0.983773
0.005,64.8388,0.980684
0.005,62.8535,0.977622
0.005,60.8666,0.97479
0.005,58.8752,0.97171
0.005,56.8801,0.968968
0.005,54.8884,0.966256
0.005,52.8958,0.963644
0.005,50.9141,0.961072
0.005,48.8695,0.958696
0.005,46.8389,0.956374
0.005,44.8779,0.954192
0.005,42.9184,0.952121
0.005,40.9008,0.950187
0.005,38.8821,0.948316
0.005,36.851,0.946571
0.005,34.821,0.944989
0.005,32.859,0.943542
0.005,30.8903,0.942259
0.005,28.8577,0.940918
0.005,26.8306,0.939673
0.005,24.8173,0.938523
0.005,22.8177,0.937496
0.005,20.8326,0.93664
0.005,18.8382,0.935751
0.005,16.8916,0.93494
0.005,14.8876,0.934138
0.005,12.8718,0.933317
0.005,10.8521,0.932556
0.005,8.88397,0.931838
0.005,6.89536,0.931153
0.005,4.83108,0.930427
0.0049,300.045,1.52606
0.0049,298.405,1.52128
0.0049,296.861,1.51692
0.0049,294.854,1.51122
0.0049,292.831,1.50558
0.0049,290.851,1.50004
0.0049,288.906,1.49457
0.0049,286.914,1.489
0.0049,284.855,1.48326
0.0049,282.867,1.47769
0.0049,280.924,1.47233
0.0049,278.887,1.46662
0.0049,276.888,1.46102
0.0049,274.908,1.45558
0.0049,272.909,1.44994
0.0049,270.9,1.44437
0.0049,268.896,1.43882
0.0049,266.882,1.4332
0.0049,264.851,1.42757
0.0049,262.825,1.42199
0.0049,260.88,1.41661
0.0049,258.871,1.41109
0.0049,256.854,1.40561
0.0049,254.886,1.40016
0.0049,252.854,1.3946
0.0049,250.852,1.38909
0.0049,248.841,1.38362
0.0049,246.806,1.37806
0.0049,244.855,1.37281
0.0049,242.884,1.36746
0.0049,240.871,1.36202
0.0049,238.856,1.3566
0.0049,236.873,1.35129
0.0049,234.919,1.34602
0.0049,232.893,1.34066
0.0049,230.887,1.33556
0.0049,228.859,1.33022
0.0049,226.829,1.32481
0.0049,224.877,1.31969
0.0049,222.92,1.31459
0.0049,220.904,1.30922
0.0049,218.87,1.30398
0.0049,216.832,1.29869
0.0049,214.826,1.29338
0.0049,212.867,1.28833
0.0049,210.904,1.28331
0.0049,208.883,1.27811
0.0049,206.865,1.27297
0.0049,204.855,1.26774
0.0049,202.883,1.2627
0.0049,200.933,1.25761
0.0049,198.916,1.25262
0.0049,196.888,1.24747
0.0049,194.869,1.24238
0.0049,192.84,1.23734
0.0049,190.838,1.2323
0.0049,188.88,1.22739
0.0049,186.915,1.22185
0.0049,184.913,1.21689
0.0049,182.888,1.21193
0.0049,180.872,1.2069
0.0049,178.851,1.20196
0.0049,176.835,1.19694
0.0049,174.823,1.192
0.0049,172.817,1.18699
0.0049,170.828,1.18205
0.0049,168.876,1.17744
0.0049,166.913,1.17261
0.0049,164.912,1.16789
0.0049,162.889,1.16303
0.0049,160.876,1.15816
0.0049,158.865,1.15344
0.0049,156.855,1.14866
0.0049,154.83,1.14386
0.0049,152.806,1.13907
0.0049,150.866,1.13465
0.0049,148.896,1.13004
0.0049,146.88,1.12519
0.0049,144.856,1.12061
0.0049,142.832,1.11589
0.0049,140.868,1.11148
0.0049,138.91,1.10697
0.0049,136.884,1.10248
0.0049,134.857,1.09791
0.0049,132.839,1.0934
0.0049,130.86,1.08902
0.0049,128.909,1.08472
0.0049,126.868,1.08016
0.0049,124.843,1.07565
0.0049,122.866,1.07132
0.0049,120.896,1.06704
0.0049,118.863,1.06268
0.0049,116.823,1.05847
0.0049,114.845,1.05426
0.0049,112.868,1.04998
0.0049,110.89,1.0459
0.0049,108.927,1.04173
0.0049,106.91,1.03743
0.0049,104.888,1.03322
0.0049,102.905,1.02921
0.0049,100.895,1.02514
0.0049,98.8867,1.02114
0.0049,96.8821,1.01709
0.0049,94.8858,1.01321
0.0049,92.8833,1.00935
0.0049,90.8814,1.00545
0.0049,88.882,1.00173
0.0049,86.8771,0.9981
0.0049,84.8749,0.99435
0.0049,82.8626,0.990718
0.0049,80.8572,0.987159
0.0049,78.8418,0.983684
0.0049,76.8899,0.980196
0.0049,74.8712,0.976758
0.0049,72.853,0.973559
0.0049,70.8949,0.970382
0.0049,68.8891,0.967237
0.0049,66.8286,0.9641
0.0049,64.8388,0.961077
0.0049,62.8535,0.958073
0.0049,60.8666,0.955296
0.0049,58.8752,0.952284
0.0049,56.8801,0.949596
0.0049,54.8884,0.946936
0.0049,52.8958,0.944378
0.0049,50.9141,0.94186
0.0049,48.8695,0.939531
0.0049,46.8389,0.937257
0.0049,44.8779,0.935121
0.0049,42.9184,0.933092
0.0049,40.9008,0.931195
0.0049,38.8821,0.929364
0.0049,36.851,0.927655
0.0049,34.821,0.926104
0.0049,32.859,0.924683
0.0049,30.8903,0.923426
0.0049,28.8577,0.922114
0.0049,26.8306,0.920896
0.0049,24.8173,0.919773
0.0049,22.8177,0.918766
0.0049,20.8326,0.91793
0.0049,18.8382,0.917063
0.0049,16.8916,0.916268
0.0049,14.8876,0.915484
0.0049,12.8718,0.914684
0.0049,10.8521,0.913937
0.0049,8.88397,0.913236
0.0049,6.89536,0.912566
0.0049,4.83108,0.911865
0.0048,300.045,1.49493
0.0048,298.405,1.49025
0.0048,296.861,1.48598
0.0048,294.854,1.4804
0.0048,292.831,1.47487
0.0048,290.851,1.46945
0.0048,288.906,1.46408
0.0048,286.914,1.45863
0.0048,284.855,1.453
0.0048,282.867,1.44755
0.0048,280.924,1.44229
0.0048,278.887,1.43669
0.0048,276.888,1.43121
0.0048,274.908,1.42588
0.0048,272.909,1.42036
0.0048,270.9,1.4149
0.0048,268.896,1.40946
0.0048,266.882,1.40396
0.0048,264.851,1.39844
0.0048,262.825,1.39298
0.0048,260.88,1.38771
0.0048,258.871,1.3823
0.0048,256.854,1.37693
0.0048,254.886,1.37159
0.0048,252.854,1.36615
0.0048,250.852,1.36075
0.0048,248.841,1.35539
0.0048,246.806,1.34995
0.0048,244.855,1.3448
0.0048,242.884,1.33956
0.0048,240.871,1.33423
0.0048,238.856,1.32892
0.0048,236.873,1.32372
0.0048,234.919,1.31855
0.0048,232.893,1.3133
0.0048,230.887,1.30831
0.0048,228.859,1.30307
0.0048,226.829,1.29777
0.0048,224.877,1.29276
0.0048,222.92,1.28777
0.0048,220.904,1.28251
0.0048,218.87,1.27736
0.0048,216.832,1.27218
0.0048,214.826,1.26699
0.0048,212.867,1.26204
0.0048,210.904,1.25712
0.0048,208.883,1.25203
0.0048,206.865,1.247
0.0048,204.855,1.24187
0.0048,202.883,1.23693
0.0048,200.933,1.23195
0.0048,198.916,1.22706
0.0048,196.888,1.22201
0.0048,194.869,1.21703
0.0048,192.84,1.21209
0.0048,190.838,1.20715
0.0048,188.88,1.20234
0.0048,186.915,1.19692
0.0048,184.913,1.19206
0.0048,182.888,1.1872
0.0048,180.872,1.18227
0.0048,178.851,1.17743
0.0048,176.835,1.17252
0.0048,174.823,1.16768
0.0048,172.817,1.16277
0.0048,170.828,1.15793
0.0048,168.876,1.15341
0.0048,166.913,1.14868
0.0048,164.912,1.14405
0.0048,162.889,1.13929
0.0048,160.876,1.13453
0.0048,158.865,1.1299
0.0048,156.855,1.12522
0.0048,154.83,1.12052
0.0048,152.806,1.11582
0.0048,150.866,1.11149
0.0048,148.896,1.10697
0.0048,146.88,1.10222
0.0048,144.856,1.09773
0.0048,142.832,1.09311
0.0048,140.868,1.08879
0.0048,138.91,1.08437
0.0048,136.884,1.07997
0.0048,134.857,1.07549
0.0048,132.839,1.07108
0.0048,130.86,1.06678
0.0048,128.909,1.06257
0.0048,126.868,1.05811
0.0048,124.843,1.0537
0.0048,122.866,1.04946
0.0048,120.896,1.04526
0.0048,118.863,1.04099
0.0048,116.823,1.03687
0.0048,114.845,1.03274
0.0048,112.868,1.02854
0.0048,110.89,1.02455
0.0048,108.927,1.02047
0.0048,106.91,1.01625
0.0048,104.888,1.01213
0.0048,102.905,1.0082
0.0048,100.895,1.00422
0.0048,98.8867,1.0003
0.0048,96.8821,0.99633
0.0048,94.8858,0.992529
0.0048,92.8833,0.988752
0.0048,90.8814,0.984934
0.0048,88.882,0.981287
0.0048,86.8771,0.977731
0.0048,84.8749,0.974056
0.0048,82.8626,0.970499
0.0048,80.8572,0.967012
0.0048,78.8418,0.963605
0.0048,76.8899,0.960193
0.0048,74.8712,0.956827
0.0048,72.853,0.953689
0.0048,70.8949,0.95058
0.0048,68.8891,0.947497
0.0048,66.8286,0.944425
0.0048,64.8388,0.941466
0.0048,62.8535,0.938522
0.0048,60.8666,0.935801
0.0048,58.8752,0.932853
0.0048,56.8801,0.93022
0.0048,54.8884,0.927616
0.0048,52.8958,0.925108
0.0048,50.9141,0.922643
0.0048,48.8695,0.920361
0.0048,46.8389,0.918133
0.0048,44.8779,0.916043
0.0048,42.9184,0.914056
0.0048,40.9008,0.912197
0.0048,38.8821,0.910405
0.0048,36.851,0.908731
0.0048,34.821,0.907212
0.0048,32.859,0.90582
0.0048,30.8903,0.904588
0.0048,28.8577,0.903304
0.0048,26.8306,0.902113
0.0048,24.8173,0.901014
0.0048,22.8177,0.900029
0.0048,20.8326,0.89921
0.0048,18.8382,0.89836
0.0048,16.8916,0.897581
0.0048,14.8876,0.896811
0.0048,12.8718,0.896027
0.0048,10.8521,0.895298
0.0048,8.88397,0.894612
0.0048,6.89536,0.893957
0.0048,4.83108,0.893276
0.0047,300.045,1.4638
0.0047,298.405,1.45921
0.0047,296.861,1.45502
0.0047,294.854,1.44956
0.0047,292.831,1.44415
0.0047,290.851,1.43884
0.0047,288.906,1.43359
0.0047,286.914,1.42825
0.0047,284.855,1.42273
0.0047,282.867,1.4174
0.0047,280.924,1.41225
0.0047,278.887,1.40677
0.0047,276.888,1.4014
0.0047,274.908,1.39618
0.0047,272.909,1.39078
0.0047,270.9,1.38544
0.0047,268.896,1.38011
0.0047,266.882,1.37471
0.0047,264.851,1.36931
0.0047,262.825,1.36397
0.0047,260.88,1.3588
0.0047,258.871,1.35351
0.0047,256.854,1.34825
0.0047,254.886,1.34302
0.0047,252.854,1.33769
0.0047,250.852,1.3324
0.0047,248.841,1.32715
0.0047,246.806,1.32183
0.0047,244.855,1.31678
0.0047,242.884,1.31165
0.0047,240.871,1.30643
0.0047,238.856,1.30124
0.0047,236.873,1.29614
0.0047,234.919,1.29109
