I,T,Uraw
4e-05,170.145,2.7335
4e-05,164.986,2.88624
4e-05,159.929,3.04875
4e-05,154.981,3.22436
4e-05,149.943,3.42405
4e-05,144.911,3.64829
4e-05,139.903,3.9013
4e-05,134.89,4.18943
4e-05,130.959,4.39456
3.92e-05,170.145,2.68144
3.92e-05,164.986,2.83157
3.92e-05,159.929,2.99127
3.92e-05,154.981,3.16385
3.92e-05,149.943,3.36006
3.92e-05,144.911,3.58031
3.92e-05,139.903,3.82873
3.92e-05,134.89,4.11165
3.92e-05,130.959,4.31304
3.84e-05,170.145,2.62885
3.84e-05,164.986,2.77631
3.84e-05,159.929,2.93315
3.84e-05,154.981,3.10259
3.84e-05,149.943,3.29522
3.84e-05,144.911,3.51134
3.84e-05,139.903,3.7551
3.84e-05,134.89,4.03274
3.84e-05,130.959,4.23033
3.76e-05,170.145,2.5761
3.76e-05,164.986,2.72084
3.76e-05,159.929,2.87482
3.76e-05,154.981,3.04115
3.76e-05,149.943,3.23014
3.76e-05,144.911,3.44217
3.76e-05,139.903,3.68125
3.76e-05,134.89,3.95361
3.76e-05,130.959,4.14732
3.68e-05,170.145,2.52319
3.68e-05,164.986,2.66526
3.68e-05,159.929,2.81635
3.68e-05,154.981,2.97954
3.68e-05,149.943,3.16496
3.68e-05,144.911,3.37287
3.68e-05,139.903,3.60729
3.68e-05,134.89,3.87429
3.68e-05,130.959,4.06421
3.6e-05,170.145,2.47016
3.6e-05,164.986,2.60952
3.6e-05,159.929,2.75773
3.6e-05,154.981,2.91779
3.6e-05,149.943,3.09959
3.6e-05,144.911,3.30345
3.6e-05,139.903,3.5332
3.6e-05,134.89,3.79485
3.6e-05,130.959,3.98092
3.52e-05,170.145,2.41698
3.52e-05,164.986,2.55364
3.52e-05,159.929,2.69897
3.52e-05,154.981,2.85588
3.52e-05,149.943,3.03409
3.52e-05,144.911,3.2339
3.52e-05,139.903,3.45898
3.52e-05,134.89,3.7153
3.52e-05,130.959,3.89752
3.44e-05,170.145,2.36368
3.44e-05,164.986,2.49763
3.44e-05,159.929,2.64005
3.44e-05,154.981,2.79382
3.44e-05,149.943,2.96845
3.44e-05,144.911,3.16418
3.44e-05,139.903,3.38461
3.44e-05,134.89,3.63562
3.44e-05,130.959,3.81395
3.36e-05,170.145,2.31023
3.36e-05,164.986,2.44147
3.36e-05,159.929,2.58099
3.36e-05,154.981,2.73162
3.36e-05,149.943,2.90266
3.36e-05,144.911,3.09431
3.36e-05,139.903,3.31011
3.36e-05,134.89,3.55577
3.36e-05,130.959,3.73029
3.28e-05,170.145,2.25664
3.28e-05,164.986,2.38514
3.28e-05,159.929,2.52178
3.28e-05,154.981,2.66926
3.28e-05,149.943,2.83671
3.28e-05,144.911,3.02429
3.28e-05,139.903,3.23543
3.28e-05,134.89,3.4758
3.28e-05,130.959,3.64645
3.2e-05,170.145,2.20294
3.2e-05,164.986,2.32867
3.2e-05,159.929,2.4624
3.2e-05,154.981,2.60672
3.2e-05,149.943,2.7706
3.2e-05,144.911,2.95413
3.2e-05,139.903,3.16063
3.2e-05,134.89,3.39564
3.2e-05,130.959,3.56251
3.12e-05,170.145,2.14911
3.12e-05,164.986,2.27206
3.12e-05,159.929,2.40286
3.12e-05,154.981,2.54405
3.12e-05,149.943,2.70428
3.12e-05,144.911,2.88377
3.12e-05,139.903,3.08565
3.12e-05,134.89,3.31532
3.12e-05,130.959,3.47838
3.04e-05,170.145,2.09515
3.04e-05,164.986,2.2153
3.04e-05,159.929,2.34315
3.04e-05,154.981,2.48119
3.04e-05,149.943,2.6378
3.04e-05,144.911,2.81322
3.04e-05,139.903,3.01052
3.04e-05,134.89,3.23487
3.04e-05,130.959,3.39411
2.96e-05,170.145,2.04105
2.96e-05,164.986,2.15838
2.96e-05,159.929,2.28326
2.96e-05,154.981,2.41813
2.96e-05,149.943,2.57114
2.96e-05,144.911,2.74248
2.96e-05,139.903,2.93518
2.96e-05,134.89,3.15421
2.96e-05,130.959,3.30963
2.88e-05,170.145,1.98684
2.88e-05,164.986,2.1013
2.88e-05,159.929,2.2232
2.88e-05,154.981,2.35488
2.88e-05,149.943,2.5043
