I,T,Uraw
0.003,299.994,1.48591
0.003,298.355,1.481
0.003,296.863,1.47646
0.003,294.884,1.47025
0.003,292.866,1.46411
0.003,290.903,1.45823
0.003,288.878,1.45212
0.003,286.872,1.44616
0.003,284.93,1.44046
0.003,282.937,1.43464
0.003,280.934,1.42889
0.003,278.89,1.42301
0.003,276.821,1.41714
0.003,274.854,1.41158
0.003,272.912,1.40615
0.003,270.912,1.40061
0.003,268.899,1.39514
0.003,266.894,1.38971
0.003,264.869,1.38428
0.003,262.852,1.37894
0.003,260.848,1.37369
0.003,258.841,1.36854
0.003,256.833,1.36337
0.003,254.868,1.35839
0.003,252.898,1.35355
0.003,250.901,1.34861
0.003,248.892,1.3437
0.003,246.858,1.33884
0.003,244.847,1.33404
0.003,242.822,1.32931
0.003,240.816,1.32466
0.003,238.863,1.32019
0.003,236.898,1.31578
0.003,234.881,1.31129
0.003,232.859,1.30688
0.003,230.861,1.30257
0.003,228.897,1.2984
0.003,226.926,1.2943
0.003,224.922,1.29018
0.003,222.907,1.2861
0.003,220.9,1.28214
0.003,218.872,1.2782
0.003,216.844,1.27443
0.003,214.837,1.27057
0.003,212.877,1.26702
0.003,210.921,1.26353
0.003,208.899,1.25996
0.003,206.886,1.25656
0.003,204.877,1.25318
0.003,202.851,1.24992
0.003,200.833,1.24665
0.003,198.885,1.24364
0.003,196.924,1.24073
0.003,194.906,1.23792
0.003,192.882,1.23506
0.003,190.882,1.2323
0.003,188.858,1.22964
0.003,186.835,1.2271
0.003,184.827,1.22467
0.003,182.866,1.22242
0.003,180.909,1.22025
0.003,178.89,1.21807
0.003,176.869,1.21604
0.003,174.855,1.21414
0.003,172.829,1.21231
0.003,170.855,1.21067
0.003,168.845,1.20902
0.003,166.817,1.20827
0.003,164.817,1.20701
0.003,162.865,1.20602
0.003,160.914,1.20499
0.003,158.895,1.20417
0.003,156.883,1.20332
0.003,154.857,1.20273
0.003,152.836,1.2023
0.003,150.887,1.20193
0.003,148.921,1.20181
0.003,146.909,1.20194
0.003,144.879,1.2021
0.003,142.856,1.2025
0.003,140.83,1.20292
0.003,138.871,1.20372
0.003,136.907,1.2047
0.003,134.883,1.2057
0.003,132.857,1.20704
0.003,130.819,1.20839
0.003,128.864,1.21006
0.003,126.887,1.21214
0.003,124.863,1.2143
0.003,122.89,1.21666
0.003,120.919,1.21918
0.003,118.889,1.22219
0.003,116.848,1.22533
0.003,114.875,1.22869
0.003,112.901,1.2323
0.003,110.858,1.23623
0.003,108.832,1.24051
0.003,106.844,1.24495
0.003,104.863,1.24971
0.003,102.868,1.25463
0.003,100.882,1.25996
0.003,98.8064,1.26654
0.003,96.8692,1.27228
0.003,94.8485,1.27865
0.003,92.8505,1.28522
0.003,90.8508,1.29231
0.003,88.8508,1.29951
0.003,86.8458,1.30707
0.003,84.8356,1.3149
0.003,82.8942,1.32275
0.003,80.8847,1.33117
0.003,78.8703,1.33993
0.003,76.8546,1.34891
0.003,74.8326,1.35814
0.003,72.8851,1.36718
0.003,70.8793,1.37665
0.003,68.8837,1.38639
0.003,66.8967,1.39641
0.003,64.837,1.40691
0.003,62.8477,1.4173
0.003,60.8599,1.42756
0.003,58.867,1.4379
0.003,56.8732,1.44821
0.003,54.8798,1.45832
0.003,52.8908,1.46824
0.003,50.833,1.47806
0.003,48.8471,1.4871
0.003,46.8812,1.4956
0.003,44.8632,1.50361
0.003,42.8501,1.51097
0.003,40.8369,1.51724
0.003,38.8858,1.52225
0.003,36.9214,1.52617
0.003,34.8954,1.52919
0.003,32.8681,1.53077
0.003,30.8341,1.53112
0.003,28.8628,1.53024
0.003,26.8916,1.52828
0.003,24.8711,1.52536
0.003,22.8628,1.52183
0.003,20.8743,1.51788
0.003,18.8127,1.51393
0.003,16.8641,1.51081
0.003,14.8607,1.50907
0.003,12.8497,1.50924
0.003,10.8914,1.51171
0.003,8.92636,1.51589
0.003,6.88189,1.52171
0.003,4.81,1.52521
0.00294,299.994,1.45872
0.00294,298.355,1.45393
0.00294,296.863,1.44951
0.00294,294.884,1.44347
0.00294,292.866,1.43749
0.00294,290.903,1.43177
0.00294,288.878,1.42581
0.00294,286.872,1.42001
0.00294,284.93,1.41447
0.00294,282.937,1.40881
0.00294,280.934,1.40322
0.00294,278.89,1.39749
0.00294,276.821,1.39178
0.00294,274.854,1.38637
0.00294,272.912,1.38109
0.00294,270.912,1.3757
0.00294,268.899,1.37038
0.00294,266.894,1.3651
0.00294,264.869,1.35982
0.00294,262.852,1.35462
0.00294,260.848,1.34951
0.00294,258.841,1.34451
0.00294,256.833,1.33948
0.00294,254.868,1.33464
0.00294,252.898,1.32994
0.00294,250.901,1.32514
0.00294,248.892,1.32037
0.00294,246.858,1.31565
0.00294,244.847,1.31098
0.00294,242.822,1.30639
0.00294,240.816,1.30187
0.00294,238.863,1.29752
0.00294,236.898,1.29324
0.00294,234.881,1.28888
0.00294,232.859,1.2846
0.00294,230.861,1.28041
0.00294,228.897,1.27636
0.00294,226.926,1.27238
0.00294,224.922,1.26838
0.00294,222.907,1.26442
0.00294,220.9,1.26058
0.00294,218.872,1.25676
0.00294,216.844,1.25311
0.00294,214.837,1.24936
0.00294,212.877,1.24591
0.00294,210.921,1.24254
0.00294,208.899,1.23907
0.00294,206.886,1.23578
0.00294,204.877,1.23251
0.00294,202.851,1.22935
0.00294,200.833,1.22618
0.00294,198.885,1.22327
0.00294,196.924,1.22045
0.00294,194.906,1.21773
0.00294,192.882,1.21496
0.00294,190.882,1.21229
0.00294,188.858,1.20971
0.00294,186.835,1.20727
0.00294,184.827,1.20492
0.00294,182.866,1.20274
0.00294,180.909,1.20065
0.00294,178.89,1.19855
0.00294,176.869,1.19659
0.00294,174.855,1.19475
0.00294,172.829,1.193
0.00294,170.855,1.19141
0.00294,168.845,1.18984
0.00294,166.817,1.18913
0.00294,164.817,1.18793
0.00294,162.865,1.18699
0.00294,160.914,1.18601
0.00294,158.895,1.18523
0.00294,156.883,1.18444
0.00294,154.857,1.18389
0.00294,152.836,1.18349
0.00294,150.887,1.18316
0.00294,148.921,1.18307
0.00294,146.909,1.18323
0.00294,144.879,1.18342
0.00294,142.856,1.18384
0.00294,140.83,1.18428
0.00294,138.871,1.18509
0.00294,136.907,1.18607
0.00294,134.883,1.18709
0.00294,132.857,1.18842
0.00294,130.819,1.18978
0.00294,128.864,1.19144
0.00294,126.887,1.19349
0.00294,124.863,1.19563
0.00294,122.89,1.19798
0.00294,120.919,1.20048
0.00294,118.889,1.20345
0.00294,116.848,1.20656
0.00294,114.875,1.20987
0.00294,112.901,1.21344
0.00294,110.858,1.21732
0.00294,108.832,1.22154
0.00294,106.844,1.22591
0.00294,104.863,1.2306
0.00294,102.868,1.23545
0.00294,100.882,1.2407
0.00294,98.8064,1.24718
0.00294,96.8692,1.25283
0.00294,94.8485,1.2591
0.00294,92.8505,1.26557
0.00294,90.8508,1.27255
0.00294,88.8508,1.27962
0.00294,86.8458,1.28707
0.00294,84.8356,1.29477
0.00294,82.8942,1.30249
0.00294,80.8847,1.31077
0.00294,78.8703,1.31937
0.00294,76.8546,1.32821
0.00294,74.8326,1.33728
0.00294,72.8851,1.34617
0.00294,70.8793,1.35548
0.00294,68.8837,1.36505
0.00294,66.8967,1.3749
0.00294,64.837,1.38521
0.00294,62.8477,1.39542
