I,T,Uraw
0.005,310.11,0.503016
0.005,304.981,0.502964
0.005,299.988,0.502916
0.005,294.999,0.502865
0.005,289.885,0.502815
0.005,284.94,0.502767
0.005,279.902,0.502704
0.005,274.966,0.502645
0.005,269.941,0.502586
0.005,264.929,0.50252
0.005,259.908,0.502438
0.005,254.9,0.502363
0.005,249.883,0.502292
0.005,244.885,0.5022
0.005,239.877,0.502103
0.005,234.898,0.502017
0.005,229.986,0.501911
0.005,224.987,0.501808
0.005,219.986,0.5017
0.005,214.975,0.501571
0.005,209.979,0.501443
0.005,204.95,0.501315
0.005,199.947,0.501168
0.005,194.954,0.501022
0.005,189.939,0.500864
0.005,184.937,0.500692
0.005,179.938,0.500514
0.005,174.935,0.500338
0.005,169.928,0.500133
0.005,164.936,0.499922
0.005,159.905,0.499707
0.005,154.928,0.499482
0.005,149.954,0.499246
0.005,144.982,0.498985
0.005,139.888,0.498713
0.005,134.902,0.498431
0.005,129.929,0.498135
0.005,124.967,0.497807
0.005,119.985,0.497482
0.005,114.988,0.497132
0.005,109.889,0.496754
0.005,104.902,0.496364
0.005,99.9123,0.495957
0.005,94.9129,0.495537
0.005,89.902,0.495098
0.005,84.8985,0.494644
0.005,79.987,0.494182
0.005,74.95,0.493697
0.005,69.9047,0.493191
0.005,64.9562,0.492682
0.005,60.0129,0.492162
0.005,54.8902,0.491615
0.005,49.8805,0.491071
0.005,44.8498,0.490528
0.005,39.9805,0.49002
0.005,34.8782,0.489474
0.005,30.0383,0.489003
0.005,24.9057,0.48852
0.005,19.7865,0.488039
0.005,14.7535,0.487587
0.005,9.46688,0.486917
0.0049,310.11,0.492945
0.0049,304.981,0.492893
0.0049,299.988,0.492848
0.0049,294.999,0.492797
0.0049,289.885,0.492748
0.0049,284.94,0.4927
0.0049,279.902,0.492639
0.0049,274.966,0.492582
0.0049,269.941,0.492522
0.0049,264.929,0.492458
0.0049,259.908,0.492377
0.0049,254.9,0.492305
0.0049,249.883,0.492234
0.0049,244.885,0.492144
0.0049,239.877,0.492049
0.0049,234.898,0.491965
0.0049,229.986,0.491861
0.0049,224.987,0.49176
0.0049,219.986,0.491654
0.0049,214.975,0.491527
0.0049,209.979,0.491401
0.0049,204.95,0.491277
0.0049,199.947,0.491132
0.0049,194.954,0.490989
0.0049,189.939,0.490835
0.0049,184.937,0.490665
0.0049,179.938,0.490492
0.0049,174.935,0.490319
0.0049,169.928,0.490118
0.0049,164.936,0.489912
0.0049,159.905,0.489701
0.0049,154.928,0.48948
0.0049,149.954,0.489249
0.0049,144.982,0.488993
0.0049,139.888,0.488727
0.0049,134.902,0.48845
0.0049,129.929,0.48816
0.0049,124.967,0.487838
0.0049,119.985,0.48752
0.0049,114.988,0.487177
0.0049,109.889,0.486807
0.0049,104.902,0.486424
0.0049,99.9123,0.486026
0.0049,94.9129,0.485614
0.0049,89.902,0.485184
0.0049,84.8985,0.484739
0.0049,79.987,0.484285
0.0049,74.95,0.483811
0.0049,69.9047,0.483316
0.0049,64.9562,0.482818
0.0049,60.0129,0.482307
0.0049,54.8902,0.481773
0.0049,49.8805,0.481239
0.0049,44.8498,0.480708
0.0049,39.9805,0.48021
0.0049,34.8782,0.479675
0.0049,30.0383,0.479213
0.0049,24.9057,0.478741
0.0049,19.7865,0.478269
0.0049,14.7535,0.477826
0.0049,9.46688,0.477169
0.0048,310.11,0.482871
0.0048,304.981,0.48282
0.0048,299.988,0.482776
0.0048,294.999,0.482726
0.0048,289.885,0.482678
0.0048,284.94,0.482632
0.0048,279.902,0.482572
0.0048,274.966,0.482516
0.0048,269.941,0.482458
0.0048,264.929,0.482396
0.0048,259.908,0.482317
0.0048,254.9,0.482246
0.0048,249.883,0.482177
0.0048,244.885,0.482088
0.0048,239.877,0.481994
0.0048,234.898,0.481913
0.0048,229.986,0.481811
0.0048,224.987,0.481713
0.0048,219.986,0.481608
0.0048,214.975,0.481485
0.0048,209.979,0.481362
0.0048,204.95,0.48124
0.0048,199.947,0.481098
0.0048,194.954,0.480957
0.0048,189.939,0.480806
0.0048,184.937,0.480639
0.0048,179.938,0.48047
0.0048,174.935,0.480301
0.0048,169.928,0.480103
0.0048,164.936,0.479902
0.0048,159.905,0.479696
0.0048,154.928,0.479478
0.0048,149.954,0.479252
0.0048,144.982,0.479001
0.0048,139.888,0.478741
0.0048,134.902,0.47847
0.0048,129.929,0.478185
0.0048,124.967,0.47787
0.0048,119.985,0.477559
0.0048,114.988,0.477223
0.0048,109.889,0.476861
0.0048,104.902,0.476486
0.0048,99.9123,0.476096
0.0048,94.9129,0.475692
0.0048,89.902,0.47527
0.0048,84.8985,0.474834
0.0048,79.987,0.474391
0.0048,74.95,0.473927
0.0048,69.9047,0.473441
0.0048,64.9562,0.472952
0.0048,60.0129,0.47245
0.0048,54.8902,0.471928
0.0048,49.8805,0.471404
0.0048,44.8498,0.470884
0.0048,39.9805,0.470397
0.0048,34.8782,0.469872
0.0048,30.0383,0.46942
0.0048,24.9057,0.468957
0.0048,19.7865,0.468496
0.0048,14.7535,0.46806
0.0048,9.46688,0.467418
0.0047,310.11,0.4728
0.0047,304.981,0.472751
0.0047,299.988,0.472707
0.0047,294.999,0.47266
0.0047,289.885,0.472611
0.0047,284.94,0.472565
0.0047,279.902,0.472508
0.0047,274.966,0.472452
0.0047,269.941,0.472394
0.0047,264.929,0.472334
0.0047,259.908,0.472258
0.0047,254.9,0.472188
0.0047,249.883,0.472119
0.0047,244.885,0.472034
0.0047,239.877,0.471941
0.0047,234.898,0.471862
0.0047,229.986,0.471762
0.0047,224.987,0.471665
0.0047,219.986,0.471563
0.0047,214.975,0.471441
0.0047,209.979,0.471322
0.0047,204.95,0.471202
0.0047,199.947,0.471064
0.0047,194.954,0.470925
0.0047,189.939,0.470779
0.0047,184.937,0.470614
0.0047,179.938,0.47045
0.0047,174.935,0.470283
0.0047,169.928,0.47009
0.0047,164.936,0.469892
0.0047,159.905,0.469689
0.0047,154.928,0.469479
0.0047,149.954,0.469256
0.0047,144.982,0.469011
0.0047,139.888,0.468756
0.0047,134.902,0.46849
0.0047,129.929,0.468211
0.0047,124.967,0.467902
0.0047,119.985,0.467599
0.0047,114.988,0.46727
0.0047,109.889,0.466914
0.0047,104.902,0.466548
0.0047,99.9123,0.466166
0.0047,94.9129,0.46577
0.0047,89.902,0.465358
0.0047,84.8985,0.46493
0.0047,79.987,0.464496
0.0047,74.95,0.464042
0.0047,69.9047,0.463566
0.0047,64.9562,0.463088
0.0047,60.0129,0.462598
0.0047,54.8902,0.462087
0.0047,49.8805,0.461573
0.0047,44.8498,0.461064
0.0047,39.9805,0.460587
0.0047,34.8782,0.460074
0.0047,30.0383,0.459631
0.0047,24.9057,0.459178
0.0047,19.7865,0.458726
0.0047,14.7535,0.4583
0.0047,9.46688,0.457671
0.0046,310.11,0.462729
0.0046,304.981,0.46268
0.0046,299.988,0.462638
0.0046,294.999,0.462591
0.0046,289.885,0.462544
0.0046,284.94,0.462499
0.0046,279.902,0.462443
0.0046,274.966,0.462388
0.0046,269.941,0.462332
0.0046,264.929,0.462273
0.0046,259.908,0.462199
0.0046,254.9,0.462131
0.0046,249.883,0.462063
0.0046,244.885,0.46198
0.0046,239.877,0.46189
0.0046,234.898,0.461812
0.0046,229.986,0.461714
0.0046,224.987,0.461619
0.0046,219.986,0.461518
0.0046,214.975,0.461399
0.0046,209.979,0.461283
0.0046,204.95,0.461165
0.0046,199.947,0.46103
0.0046,194.954,0.460894
0.0046,189.939,0.460751
0.0046,184.937,0.460589
0.0046,179.938,0.460429
0.0046,174.935,0.460265
0.0046,169.928,0.460077
0.0046,164.936,0.459883
0.0046,159.905,0.459684
0.0046,154.928,0.459479
0.0046,149.954,0.459261
0.0046,144.982,0.459021
0.0046,139.888,0.458772
0.0046,134.902,0.458512
0.0046,129.929,0.458239
0.0046,124.967,0.457936
0.0046,119.985,0.457639
0.0046,114.988,0.457318
0.0046,109.889,0.456969
0.0046,104.902,0.456611
0.0046,99.9123,0.456236
0.0046,94.9129,0.455849
0.0046,89.902,0.455446
0.0046,84.8985,0.455027
0.0046,79.987,0.454602
0.0046,74.95,0.454158
0.0046,69.9047,0.453693
0.0046,64.9562,0.453224
0.0046,60.0129,0.452743
0.0046,54.8902,0.452243
0.0046,49.8805,0.45174
0.0046,44.8498,0.451242
0.0046,39.9805,0.450774
0.0046,34.8782,0.450275
0.0046,30.0383,0.44984
0.0046,24.9057,0.449397
0.0046,19.7865,0.448954
0.0046,14.7535,0.448534
0.0046,9.46688,0.447921
0.0045,310.11,0.452659
0.0045,304.981,0.452611
0.0045,299.988,0.452569
0.0045,294.999,0.452524
0.0045,289.885,0.452478
0.0045,284.94,0.452434
0.0045,279.902,0.452379
0.0045,274.966,0.452326
0.0045,269.941,0.45227
0.0045,264.929,0.452214
0.0045,259.908,0.45214
0.0045,254.9,0.452074
0.0045,249.883,0.452007
0.0045,244.885,0.451926
0.0045,239.877,0.451838
0.0045,234.898,0.451763
0.0045,229.986,0.451666
0.0045,224.987,0.451573
0.0045,219.986,0.451474
0.0045,214.975,0.451358
0.0045,209.979,0.451244
0.0045,204.95,0.451129
0.0045,199.947,0.450997
0.0045,194.954,0.450864
0.0045,189.939,0.450723
0.0045,184.937,0.450565
0.0045,179.938,0.450408
0.0045,174.935,0.450248
0.0045,169.928,0.450064
0.0045,164.936,0.449874
0.0045,159.905,0.44968
0.0045,154.928,0.449478
0.0045,149.954,0.449266
0.0045,144.982,0.449031
0.0045,139.888,0.448788
0.0045,134.902,0.448535
0.0045,129.929,0.448266
0.0045,124.967,0.44797
