I,T,Uraw
0.005,315.107,0.28305
0.005,309.999,0.305602
0.005,304.986,0.311983
0.005,299.945,0.321344
0.005,294.984,0.334987
0.005,289.919,0.329506
0.005,284.965,0.33854
0.005,279.945,0.329336
0.005,274.986,0.330203
0.005,269.97,0.34249
0.005,264.937,0.334555
0.005,259.987,0.342407
0.005,254.958,0.340885
0.005,250.007,0.339045
0.005,245.007,0.349398
0.005,239.973,0.331963
0.005,234.958,0.340181
0.005,229.918,0.333451
0.005,224.895,0.335346
0.005,219.953,0.339585
0.005,214.915,0.337499
0.005,209.903,0.338384
0.005,204.85,0.343992
0.005,199.934,0.345282
0.005,194.914,0.34734
0.005,189.972,0.350746
0.005,184.919,0.358362
0.005,179.948,0.360389
0.005,174.895,0.364279
0.005,169.915,0.371698
0.005,164.957,0.372142
0.005,159.982,0.377689
0.005,154.901,0.386865
0.005,149.917,0.390028
0.005,144.946,0.397295
0.005,139.976,0.404954
0.005,134.888,0.41425
0.005,129.907,0.423001
0.005,124.938,0.433655
0.005,119.958,0.443873
0.005,114.956,0.454779
0.005,109.965,0.469299
0.005,104.964,0.484472
0.005,99.973,0.497619
0.005,94.9715,0.516394
0.005,89.9681,0.530766
0.005,84.9618,0.550976
0.005,79.9266,0.570291
0.005,74.912,0.59139
0.005,69.9536,0.615476
0.005,64.9036,0.638359
0.005,59.9048,0.661655
0.005,54.9264,0.685848
0.005,49.8797,0.709355
0.005,44.9963,0.733166
0.005,39.9098,0.756523
0.005,34.9524,0.776128
0.005,29.8479,0.793604
0.005,24.9914,0.807343
0.005,19.9787,0.819747
0.005,14.9539,0.828077
0.005,9.67834,0.832501
0.0049,315.107,0.277382
0.0049,309.999,0.299473
0.0049,304.986,0.305729
0.0049,299.945,0.314893
0.0049,294.984,0.328247
0.0049,289.919,0.322872
0.0049,284.965,0.331695
0.0049,279.945,0.322714
0.0049,274.986,0.323544
0.0049,269.97,0.335556
0.0049,264.937,0.327787
0.0049,259.987,0.33552
0.0049,254.958,0.334039
0.0049,250.007,0.33224
0.0049,245.007,0.34238
0.0049,239.973,0.325301
0.0049,234.958,0.33335
0.0049,229.918,0.326759
0.0049,224.895,0.328615
0.0049,219.953,0.332768
0.0049,214.915,0.330724
0.0049,209.903,0.331592
0.0049,204.85,0.337089
0.0049,199.934,0.338351
0.0049,194.914,0.340371
0.0049,189.972,0.343709
0.0049,184.919,0.351171
0.0049,179.948,0.353158
0.0049,174.895,0.356969
0.0049,169.915,0.364236
0.0049,164.957,0.364674
0.0049,159.982,0.370108
0.0049,154.901,0.3791
0.0049,149.917,0.382201
0.0049,144.946,0.38932
0.0049,139.976,0.396827
0.0049,134.888,0.405936
0.0049,129.907,0.414512
0.0049,124.938,0.424954
0.0049,119.958,0.434964
0.0049,114.956,0.445651
0.0049,109.965,0.45988
0.0049,104.964,0.474745
0.0049,99.973,0.487628
0.0049,94.9715,0.506022
0.0049,89.9681,0.520102
0.0049,84.9618,0.539902
0.0049,79.9266,0.55882
0.0049,74.912,0.57948
0.0049,69.9536,0.603066
0.0049,64.9036,0.62547
0.0049,59.9048,0.648257
0.0049,54.9264,0.671934
0.0049,49.8797,0.694936
0.0049,44.9963,0.718236
0.0049,39.9098,0.741099
0.0049,34.9524,0.760303
0.0049,29.8479,0.777442
0.0049,24.9914,0.79093
0.0049,19.9787,0.803117
0.0049,14.9539,0.811318
0.0049,9.67834,0.81574
0.0048,315.107,0.271714
0.0048,309.999,0.293345
0.0048,304.986,0.299477
0.0048,299.945,0.308447
0.0048,294.984,0.321517
0.0048,289.919,0.316244
0.0048,284.965,0.324882
0.0048,279.945,0.316103
0.0048,274.986,0.316891
0.0048,269.97,0.328636
0.0048,264.937,0.321048
0.0048,259.987,0.328632
