I,T,Uraw
0.005,299.971,2.23331
0.005,298.478,2.26446
0.005,296.974,2.33904
0.005,294.971,2.41236
0.005,292.973,2.48586
0.005,290.941,2.5975
0.005,288.992,2.73349
0.005,286.981,2.89164
0.005,284.957,3.07398
0.005,283.006,3.21566
0.005,280.999,3.35363
0.005,278.961,3.58491
0.005,276.962,3.75664
0.005,274.951,3.9182
0.005,272.923,4.10904
0.005,270.962,4.26682
0.005,268.951,4.49383
0.005,266.957,4.72742
0.005,264.953,4.94764
0.0049,299.971,2.18617
0.0049,298.478,2.21733
0.0049,296.974,2.2891
0.0049,294.971,2.36141
0.0049,292.973,2.43388
0.0049,290.941,2.5432
0.0049,288.992,2.67623
0.0049,286.981,2.83085
0.0049,284.957,3.00901
0.0049,283.006,3.14623
0.0049,280.999,3.28233
0.0049,278.961,3.50899
0.0049,276.962,3.67602
0.0049,274.951,3.83422
0.0049,272.923,4.02038
0.0049,270.962,4.17542
0.0049,268.951,4.39707
0.0049,266.957,4.62544
0.0049,264.953,4.86125
0.0049,262.955,4.99943
0.0048,299.971,2.13979
0.0048,298.478,2.1714
0.0048,296.974,2.24154
0.0048,294.971,2.31254
0.0048,292.973,2.38351
0.0048,290.941,2.49064
0.0048,288.992,2.6209
0.0048,286.981,2.77224
0.0048,284.957,2.94652
0.0048,283.006,3.07974
0.0048,280.999,3.21399
0.0048,278.961,3.43604
0.0048,276.962,3.59905
0.0048,274.951,3.75433
0.0048,272.923,3.9363
0.0048,270.962,4.08867
0.0048,268.951,4.30566
0.0048,266.957,4.52908
0.0048,264.953,4.76013
0.0048,262.955,4.97135
0.0047,299.971,2.09474
0.0047,298.478,2.12581
0.0047,296.974,2.19434
0.0047,294.971,2.26397
0.0047,292.973,2.33362
0.0047,290.941,2.43857
0.0047,288.992,2.56606
0.0047,286.981,2.71418
0.0047,284.957,2.88469
0.0047,283.006,3.01497
0.0047,280.999,3.14651
0.0047,278.961,3.36397
0.0047,276.962,3.5232
0.0047,274.951,3.67542
0.0047,272.923,3.8536
0.0047,270.962,4.00314
0.0047,268.951,4.2155
0.0047,266.957,4.43426
0.0047,264.953,4.66045
0.0047,262.955,4.89951
0.0046,299.971,2.04984
0.0046,298.478,2.08033
0.0046,296.974,2.1475
0.0046,294.971,2.2155
0.0046,292.973,2.28389
0.0046,290.941,2.38662
0.0046,288.992,2.51149
0.0046,286.981,2.65637
0.0046,284.957,2.82311
0.0046,283.006,2.95002
0.0046,280.999,3.07931
0.0046,278.961,3.2923
0.0046,276.962,3.44743
0.0046,274.951,3.59691
0.0046,272.923,3.77122
0.0046,270.962,3.91806
