I,T,Uraw
0.001,299.968,0.527719
0.001,298.466,0.547766
0.001,296.953,0.568732
0.001,294.972,0.597961
0.001,292.937,0.628801
0.001,290.953,0.660635
0.001,288.911,0.695646
0.001,286.884,0.732647
0.001,284.945,0.769821
0.001,282.92,0.809759
0.001,280.956,0.851505
0.001,278.945,0.897254
0.001,276.954,0.943862
0.001,274.93,0.993256
0.001,272.895,1.04661
0.001,270.877,1.1028
0.001,268.831,1.16313
0.001,266.875,1.22027
0.001,264.928,1.28198
0.001,262.955,1.34818
0.001,260.923,1.41837
0.001,258.884,1.48999
0.001,256.924,1.56213
0.001,254.914,1.63893
0.001,252.949,1.71576
0.001,250.919,1.79756
0.001,248.839,1.8821
0.001,246.869,1.96538
0.001,244.894,2.05247
0.001,242.921,2.13743
0.001,240.907,2.22383
0.001,238.96,2.30941
0.001,236.895,2.40042
0.001,234.847,2.48986
0.001,232.854,2.57685
0.001,230.868,2.6589
0.001,228.852,2.74439
0.001,226.895,2.82224
0.001,224.949,2.90066
0.001,222.922,2.97549
0.001,220.938,3.04749
0.001,218.98,3.11382
0.001,216.934,3.17843
0.001,214.893,3.24267
0.001,212.951,3.29515
0.001,210.919,3.34785
0.001,208.878,3.39713
0.001,206.905,3.43874
0.001,204.902,3.47771
0.001,202.891,3.51177
0.001,200.922,3.54215
0.001,198.956,3.56804
0.001,196.923,3.59103
0.001,194.927,3.60955
0.001,192.957,3.62468
0.001,190.903,3.63722
0.001,188.853,3.64548
0.001,186.913,3.65119
0.001,184.979,3.65403
0.001,182.904,3.65492
0.001,180.874,3.65356
0.001,178.945,3.64989
0.001,176.959,3.64439
0.001,174.933,3.63691
0.001,172.907,3.62757
0.001,170.917,3.61653
0.001,168.894,3.60473
0.001,166.86,3.59176
0.001,164.817,3.57732
0.001,162.854,3.5627
0.001,160.911,3.54747
0.001,158.898,3.53094
0.001,156.855,3.51359
0.001,154.912,3.49626
0.001,152.962,3.47825
0.001,150.901,3.4593
0.001,148.878,3.43978
0.001,146.942,3.42116
0.001,144.959,3.40126
0.001,142.924,3.38076
0.001,140.889,3.36048
0.001,138.947,3.33987
0.001,136.968,3.31943
0.001,134.913,3.29769
0.001,132.864,3.27598
0.001,130.931,3.25519
0.001,128.969,3.23356
0.001,126.893,3.21151
0.001,124.858,3.18881
0.001,122.916,3.16744
0.001,120.944,3.14559
0.001,118.891,3.12253
0.001,116.86,3.09914
0.001,114.906,3.07745
0.001,112.93,3.05493
0.001,110.978,3.03199
0.001,108.925,3.00815
0.001,106.844,2.98372
0.001,104.881,2.96097
0.001,102.922,2.93787
0.001,100.931,2.91414
0.001,98.9394,2.89022
0.001,96.9527,2.86632
0.001,94.9644,2.84195
0.001,92.8958,2.81698
0.001,90.905,2.79249
0.001,88.9792,2.76889
0.001,86.9747,2.74405
0.001,84.9062,2.71821
0.001,82.8944,2.69286
0.001,80.9837,2.66917
0.001,78.9669,2.64325
0.001,76.9817,2.61847
0.001,74.9595,2.59251
0.001,72.908,2.5667
0.001,70.9011,2.54065
0.001,68.871,2.51473
0.001,66.8638,2.48889
0.001,64.8214,2.46287
0.001,62.8736,2.43776
0.001,60.9291,2.41326
0.001,58.9282,2.38785
0.001,56.9862,2.3626
0.001,54.8844,2.33655
0.001,52.9058,2.31205
0.001,50.9485,2.28816
0.001,48.9351,2.2641
0.001,46.9241,2.24034
0.001,44.8794,2.21667
0.001,42.8394,2.1941
0.001,40.8294,2.17268
0.001,38.8787,2.15295
0.001,36.898,2.13408
0.001,34.8924,2.11655
0.001,32.933,2.10088
0.001,30.8959,2.08636
0.001,28.8681,2.07403
0.001,26.934,2.06454
0.001,24.9282,2.05739
0.001,22.9312,2.05327
0.001,20.9548,2.05269
0.001,18.9072,2.05585
0.001,16.9772,2.06282
0.001,14.9715,2.07402
0.001,12.9542,2.08951
0.001,10.9079,2.10913
0.001,8.8473,2.13177
0.001,6.86769,2.15451
0.001,4.87615,2.17562
0.00098,299.968,0.517154
0.00098,298.466,0.536784
0.00098,296.953,0.557343
0.00098,294.972,0.585984
0.00098,292.937,0.616215
0.00098,290.953,0.647411
0.00098,288.911,0.681712
0.00098,286.884,0.717972
0.00098,284.945,0.754396
0.00098,282.92,0.793551
0.00098,280.956,0.834442
0.00098,278.945,0.879253
0.00098,276.954,0.924956
0.00098,274.93,0.973365
0.00098,272.895,1.02565
0.00098,270.877,1.08071
0.00098,268.831,1.13983
0.00098,266.875,1.19581
0.00098,264.928,1.25631
0.00098,262.955,1.32119
0.00098,260.923,1.38993
0.00098,258.884,1.46012
0.00098,256.924,1.53089
0.00098,254.914,1.6061
0.00098,252.949,1.68136
0.00098,250.919,1.76154
0.00098,248.839,1.84437
0.00098,246.869,1.92598
0.00098,244.894,2.01136
0.00098,242.921,2.09462
0.00098,240.907,2.17929
0.00098,238.96,2.2632
0.00098,236.895,2.3524
0.00098,234.847,2.44003
0.00098,232.854,2.5253
0.00098,230.868,2.60572
0.00098,228.852,2.6895
0.00098,226.895,2.76581
0.00098,224.949,2.84279
0.00098,222.922,2.91608
0.00098,220.938,2.98671
0.00098,218.98,3.05173
0.00098,216.934,3.11508
0.00098,214.893,3.17806
0.00098,212.951,3.22959
0.00098,210.919,3.28125
0.00098,208.878,3.32957
0.00098,206.905,3.37018
0.00098,204.902,3.4084
0.00098,202.891,3.44179
0.00098,200.922,3.47157
0.00098,198.956,3.49695
0.00098,196.923,3.51952
0.00098,194.927,3.53766
0.00098,192.957,3.55251
0.00098,190.903,3.56483
0.00098,188.853,3.57292
0.00098,186.913,3.57854
0.00098,184.979,3.58132
0.00098,182.904,3.58221
0.00098,180.874,3.58087
0.00098,178.945,3.57731
0.00098,176.959,3.57193
0.00098,174.933,3.56461
0.00098,172.907,3.55545
0.00098,170.917,3.54463
0.00098,168.894,3.53308
0.00098,166.86,3.52039
0.00098,164.817,3.50622
0.00098,162.854,3.49188
0.00098,160.911,3.47698
0.00098,158.898,3.46076
0.00098,156.855,3.44377
0.00098,154.912,3.42679
0.00098,152.962,3.40915
0.00098,150.901,3.3906
0.00098,148.878,3.37146
0.00098,146.942,3.3532
0.00098,144.959,3.33372
0.00098,142.924,3.31362
0.00098,140.889,3.29373
0.00098,138.947,3.27353
0.00098,136.968,3.2535
0.00098,134.913,3.23218
0.00098,132.864,3.21091
0.00098,130.931,3.19053
0.00098,128.969,3.16932
0.00098,126.893,3.1477
0.00098,124.858,3.12545
0.00098,122.916,3.10448
0.00098,120.944,3.08311
0.00098,118.891,3.06041
0.00098,116.86,3.03753
0.00098,114.906,3.01627
0.00098,112.93,2.99416
0.00098,110.978,2.97168
0.00098,108.925,2.94828
0.00098,106.844,2.92435
0.00098,104.881,2.90202
0.00098,102.922,2.87937
0.00098,100.931,2.85609
0.00098,98.9394,2.83264
0.00098,96.9527,2.80921
0.00098,94.9644,2.78529
0.00098,92.8958,2.76081
0.00098,90.905,2.7368
0.00098,88.9792,2.71364
0.00098,86.9747,2.68927
0.00098,84.9062,2.66396
0.00098,82.8944,2.63908
0.00098,80.9837,2.61587
0.00098,78.9669,2.59041
0.00098,76.9817,2.56612
0.00098,74.9595,2.54066
0.00098,72.908,2.51534
0.00098,70.9011,2.48981
0.00098,68.871,2.4644
0.00098,66.8638,2.43906
0.00098,64.8214,2.41355
0.00098,62.8736,2.38891
0.00098,60.9291,2.36488
0.00098,58.9282,2.33998
0.00098,56.9862,2.31523
0.00098,54.8844,2.2897
0.00098,52.9058,2.26571
0.00098,50.9485,2.24225
0.00098,48.9351,2.21867
0.00098,46.9241,2.19538
0.00098,44.8794,2.17218
0.00098,42.8394,2.15006
0.00098,40.8294,2.12906
0.00098,38.8787,2.10974
0.00098,36.898,2.09123
0.00098,34.8924,2.07405
0.00098,32.933,2.05869
0.00098,30.8959,2.04446
0.00098,28.8681,2.03236
0.00098,26.934,2.02306
0.00098,24.9282,2.01604
0.00098,22.9312,2.01199
0.00098,20.9548,2.01139
0.00098,18.9072,2.01446
0.00098,16.9772,2.02126
0.00098,14.9715,2.03216
0.00098,12.9542,2.04731
0.00098,10.9079,2.06653
0.00098,8.8473,2.08873
0.00098,6.86769,2.11103
0.00098,4.87615,2.13175
0.00096,299.968,0.506601
0.00096,298.466,0.525813
0.00096,296.953,0.54597
0.00096,294.972,0.574024
0.00096,292.937,0.603647
0.00096,290.953,0.634206
0.00096,288.911,0.667797
0.00096,286.884,0.703323
0.00096,284.945,0.738995
0.00096,282.92,0.777367
0.00096,280.956,0.817408
0.00096,278.945,0.861287
0.00096,276.954,0.906084
0.00096,274.93,0.953515
0.00096,272.895,1.00472
0.00096,270.877,1.05867
0.00096,268.831,1.11658
0.00096,266.875,1.17141
0.00096,264.928,1.23071
0.00096,262.955,1.29427
0.00096,260.923,1.36156
0.00096,258.884,1.43033
0.00096,256.924,1.49974
0.00096,254.914,1.57335
0.00096,252.949,1.64706
0.00096,250.919,1.72563
0.00096,248.839,1.80676
0.00096,246.869,1.88669
0.00096,244.894,1.97035
0.00096,242.921,2.05193
0.00096,240.907,2.13487
0.00096,238.96,2.21709
0.00096,236.895,2.3045
0.00096,234.847,2.39033
0.00096,232.854,2.47386
0.00096,230.868,2.55266
0.00096,228.852,2.63472
0.00096,226.895,2.70948
0.00096,224.949,2.78499
0.00096,222.922,2.85675
0.00096,220.938,2.92596
0.00096,218.98,2.98968
0.00096,216.934,3.05175
0.00096,214.893,3.11342
0.00096,212.951,3.16393
0.00096,210.919,3.21453
0.00096,208.878,3.26189
0.00096,206.905,3.30165
0.00096,204.902,3.33911
0.00096,202.891,3.37182
0.00096,200.922,3.40099
0.00096,198.956,3.42587
0.00096,196.923,3.44797
0.00096,194.927,3.46573
0.00096,192.957,3.48029
0.00096,190.903,3.49238
0.00096,188.853,3.50032
0.00096,186.913,3.50582
0.00096,184.979,3.50856
0.00096,182.904,3.50944
0.00096,180.874,3.50813
0.00096,178.945,3.50464
0.00096,176.959,3.49938
0.00096,174.933,3.49223
0.00096,172.907,3.48326
0.00096,170.917,3.47266
0.00096,168.894,3.46133
0.00096,166.86,3.44892
0.00096,164.817,3.43504
0.00096,162.854,3.42099
0.00096,160.911,3.4064
0.00096,158.898,3.39054
0.00096,156.855,3.37388
0.00096,154.912,3.35727
0.00096,152.962,3.33999
0.00096,150.901,3.32181
0.00096,148.878,3.30307
0.00096,146.942,3.28517
0.00096,144.959,3.26609
0.00096,142.924,3.24638
0.00096,140.889,3.22689
0.00096,138.947,3.20713
0.00096,136.968,3.1875
0.00096,134.913,3.16661
0.00096,132.864,3.14576
0.00096,130.931,3.12578
0.00096,128.969,3.10498
0.00096,126.893,3.08379
0.00096,124.858,3.062
0.00096,122.916,3.04144
0.00096,120.944,3.02056
0.00096,118.891,2.99831
0.00096,116.86,2.97585
0.00096,114.906,2.955
0.00096,112.93,2.93334
0.00096,110.978,2.9113
0.00096,108.925,2.88835
0.00096,106.844,2.86489
0.00096,104.881,2.84302
0.00096,102.922,2.82079
0.00096,100.931,2.79798
0.00096,98.9394,2.77499
0.00096,96.9527,2.75203
0.00096,94.9644,2.72857
0.00096,92.8958,2.70457
0.00096,90.905,2.68104
0.00096,88.9792,2.65835
0.00096,86.9747,2.63445
0.00096,84.9062,2.60966
0.00096,82.8944,2.58522
0.00096,80.9837,2.5625
0.00096,78.9669,2.53751
0.00096,76.9817,2.51374
0.00096,74.9595,2.48876
0.00096,72.908,2.46394
0.00096,70.9011,2.43895
0.00096,68.871,2.41402
0.00096,66.8638,2.38918
0.00096,64.8214,2.36417
0.00096,62.8736,2.34002
0.00096,60.9291,2.31646
0.00096,58.9282,2.29209
0.00096,56.9862,2.26785
0.00096,54.8844,2.24282
0.00096,52.9058,2.21932
0.00096,50.9485,2.19632
0.00096,48.9351,2.17322
0.00096,46.9241,2.15039
0.00096,44.8794,2.12766
0.00096,42.8394,2.106
0.00096,40.8294,2.08541
0.00096,38.8787,2.0665
0.00096,36.898,2.04836
0.00096,34.8924,2.03153
0.00096,32.933,2.01646
0.00096,30.8959,2.00252
0.00096,28.8681,1.99066
0.00096,26.934,1.98156
0.00096,24.9282,1.97467
0.00096,22.9312,1.9707
0.00096,20.9548,1.9701
0.00096,18.9072,1.9731
0.00096,16.9772,1.97975
0.00096,14.9715,1.99044
0.00096,12.9542,2.00531
0.00096,10.9079,2.02417
0.00096,8.8473,2.04596
0.00096,6.86769,2.06784
0.00096,4.87615,2.0882
0.00094,299.968,0.496048
0.00094,298.466,0.514846
0.00094,296.953,0.5346
0.00094,294.972,0.562067
0.00094,292.937,0.591081
0.00094,290.953,0.621005
0.00094,288.911,0.653889
0.00094,286.884,0.688677
0.00094,284.945,0.723598
0.00094,282.92,0.76119
0.00094,280.956,0.800377
0.00094,278.945,0.843326
0.00094,276.954,0.887218
0.00094,274.93,0.933677
0.00094,272.895,0.983807
0.00094,270.877,1.03664
0.00094,268.831,1.09334
0.00094,266.875,1.14701
0.00094,264.928,1.20512
0.00094,262.955,1.26735
0.00094,260.923,1.33321
0.00094,258.884,1.40055
0.00094,256.924,1.46859
0.00094,254.914,1.54063
0.00094,252.949,1.61278
0.00094,250.919,1.68973
0.00094,248.839,1.76916
0.00094,246.869,1.84742
0.00094,244.894,1.92938
0.00094,242.921,2.00926
0.00094,240.907,2.09048
0.00094,238.96,2.17101
0.00094,236.895,2.25662
0.00094,234.847,2.34062
0.00094,232.854,2.42244
0.00094,230.868,2.49963
0.00094,228.852,2.57997
0.00094,226.895,2.65318
0.00094,224.949,2.72718
0.00094,222.922,2.79742
0.00094,220.938,2.86521
0.00094,218.98,2.92761
0.00094,216.934,2.98842
0.00094,214.893,3.04877
0.00094,212.951,3.09825
0.00094,210.919,3.1478
0.00094,208.878,3.1942
0.00094,206.905,3.2331
0.00094,204.902,3.2698
0.00094,202.891,3.30185
0.00094,200.922,3.33039
0.00094,198.956,3.35477
0.00094,196.923,3.37642
0.00094,194.927,3.3938
0.00094,192.957,3.40805
0.00094,190.903,3.4199
0.00094,188.853,3.4277
