I,T,Uraw
4.68e-05,259.943,1.86427
4.68e-05,254.925,1.89742
4.68e-05,249.941,1.9334
4.68e-05,242.205,2.00513
4.56e-05,314.942,1.65925
4.56e-05,310.026,1.65552
4.56e-05,304.968,1.6541
4.56e-05,299.929,1.65624
4.56e-05,294.951,1.66396
4.56e-05,289.928,1.67735
4.56e-05,284.937,1.69447
4.56e-05,279.929,1.7142
4.56e-05,274.937,1.73624
4.56e-05,269.922,1.76074
4.56e-05,264.936,1.7875
4.56e-05,259.943,1.81691
4.56e-05,254.925,1.84927
4.56e-05,249.941,1.88438
4.56e-05,242.205,1.95436
4.44e-05,314.942,1.61583
4.44e-05,310.026,1.61218
4.44e-05,304.968,1.61083
4.44e-05,299.929,1.61292
4.44e-05,294.951,1.62044
4.44e-05,289.928,1.63348
4.44e-05,284.937,1.65015
4.44e-05,279.929,1.66937
4.44e-05,274.937,1.69086
4.44e-05,269.922,1.71476
4.44e-05,264.936,1.74082
4.44e-05,259.943,1.76951
4.44e-05,254.925,1.80105
4.44e-05,249.941,1.83529
4.44e-05,242.205,1.90352
4.32e-05,314.942,1.57239
4.32e-05,310.026,1.56882
4.32e-05,304.968,1.56751
4.32e-05,299.929,1.56959
4.32e-05,294.951,1.57688
4.32e-05,289.928,1.58961
4.32e-05,284.937,1.60578
4.32e-05,279.929,1.62452
4.32e-05,274.937,1.64545
4.32e-05,269.922,1.66872
4.32e-05,264.936,1.69412
4.32e-05,259.943,1.72208
4.32e-05,254.925,1.75279
4.32e-05,249.941,1.78614
4.32e-05,242.205,1.85261
4.2e-05,314.942,1.52892
4.2e-05,310.026,1.52549
4.2e-05,304.968,1.5242
4.2e-05,299.929,1.5262
4.2e-05,294.951,1.53329
4.2e-05,289.928,1.54567
4.2e-05,284.937,1.56143
4.2e-05,279.929,1.57963
4.2e-05,274.937,1.60001
4.2e-05,269.922,1.62264
4.2e-05,264.936,1.64738
4.2e-05,259.943,1.67458
4.2e-05,254.925,1.70448
4.2e-05,249.941,1.73694
4.2e-05,242.205,1.80163
4.08e-05,314.942,1.48544
4.08e-05,310.026,1.48209
4.08e-05,304.968,1.48085
4.08e-05,299.929,1.4828
4.08e-05,294.951,1.4897
4.08e-05,289.928,1.50172
4.08e-05,284.937,1.51704
4.08e-05,279.929,1.53474
4.08e-05,274.937,1.55454
4.08e-05,269.922,1.57655
4.08e-05,264.936,1.60058
4.08e-05,259.943,1.62703
4.08e-05,254.925,1.65612
4.08e-05,249.941,1.68769
4.08e-05,242.205,1.75061
3.96e-05,314.942,1.44194
3.96e-05,310.026,1.43869
3.96e-05,304.968,1.43749
3.96e-05,299.929,1.43935
3.96e-05,294.951,1.44608
3.96e-05,289.928,1.45774
3.96e-05,284.937,1.47262
3.96e-05,279.929,1.48981
3.96e-05,274.937,1.50904
3.96e-05,269.922,1.53041
3.96e-05,264.936,1.55377
3.96e-05,259.943,1.57947
3.96e-05,254.925,1.60773
3.96e-05,249.941,1.63839
3.96e-05,242.205,1.69953
3.84e-05,314.942,1.39841
3.84e-05,310.026,1.39527
3.84e-05,304.968,1.3941
3.84e-05,299.929,1.39591
3.84e-05,294.951,1.40242
3.84e-05,289.928,1.41374
3.84e-05,284.937,1.42817
3.84e-05,279.929,1.44483
3.84e-05,274.937,1.46351
3.84e-05,269.922,1.48426
3.84e-05,264.936,1.50694
3.84e-05,259.943,1.53189
3.84e-05,254.925,1.5593
3.84e-05,249.941,1.58906
3.84e-05,242.205,1.6484
3.72e-05,314.942,1.35487
3.72e-05,310.026,1.35183
3.72e-05,304.968,1.35069
3.72e-05,299.929,1.35246
3.72e-05,294.951,1.35876
3.72e-05,289.928,1.36971
3.72e-05,284.937,1.3837
3.72e-05,279.929,1.39986
3.72e-05,274.937,1.41796
3.72e-05,269.922,1.43807
3.72e-05,264.936,1.46006
3.72e-05,259.943,1.48425
3.72e-05,254.925,1.51083
3.72e-05,249.941,1.53969
3.72e-05,242.205,1.59722
3.6e-05,314.942,1.31131
3.6e-05,310.026,1.30837
3.6e-05,304.968,1.30727
3.6e-05,299.929,1.30899
3.6e-05,294.951,1.31507
3.6e-05,289.928,1.32568
3.6e-05,284.937,1.33923
3.6e-05,279.929,1.35486
3.6e-05,274.937,1.37239
3.6e-05,269.922,1.39187
3.6e-05,264.936,1.41316
3.6e-05,259.943,1.43657
3.6e-05,254.925,1.46234
3.6e-05,249.941,1.49028
3.6e-05,242.205,1.546
3.48e-05,314.942,1.26772
3.48e-05,310.026,1.26488
3.48e-05,304.968,1.26383
3.48e-05,299.929,1.26549
3.48e-05,294.951,1.27137
3.48e-05,289.928,1.28162
3.48e-05,284.937,1.29473
3.48e-05,279.929,1.30986
3.48e-05,274.937,1.3268
3.48e-05,269.922,1.34565
3.48e-05,264.936,1.36624
3.48e-05,259.943,1.3889
3.48e-05,254.925,1.41381
3.48e-05,249.941,1.44084
3.48e-05,242.205,1.49476
3.36e-05,314.942,1.22414
3.36e-05,310.026,1.22138
3.36e-05,304.968,1.22037
3.36e-05,299.929,1.22197
3.36e-05,294.951,1.22763
3.36e-05,289.928,1.23754
3.36e-05,284.937,1.2502
3.36e-05,279.929,1.26483
3.36e-05,274.937,1.2812
3.36e-05,269.922,1.29939
3.36e-05,264.936,1.31929
3.36e-05,259.943,1.3412
3.36e-05,254.925,1.36527
3.36e-05,249.941,1.39138
3.36e-05,242.205,1.44348
3.24e-05,314.942,1.18052
3.24e-05,310.026,1.17787
3.24e-05,304.968,1.17689
3.24e-05,299.929,1.17844
3.24e-05,294.951,1.1839
3.24e-05,289.928,1.19345
3.24e-05,284.937,1.20566
3.24e-05,279.929,1.21977
3.24e-05,274.937,1.23555
3.24e-05,269.922,1.25311
3.24e-05,264.936,1.27232
3.24e-05,259.943,1.29346
3.24e-05,254.925,1.31669
3.24e-05,249.941,1.3419
3.24e-05,242.205,1.39217
3.12e-05,314.942,1.13689
3.12e-05,310.026,1.13435
3.12e-05,304.968,1.13341
3.12e-05,299.929,1.13489
3.12e-05,294.951,1.14016
3.12e-05,289.928,1.14937
3.12e-05,284.937,1.16112
3.12e-05,279.929,1.17472
3.12e-05,274.937,1.18992
3.12e-05,269.922,1.20683
3.12e-05,264.936,1.22534
3.12e-05,259.943,1.2457
3.12e-05,254.925,1.26809
3.12e-05,249.941,1.29239
3.12e-05,242.205,1.34083
3e-05,314.942,1.09326
3e-05,310.026,1.0908
3e-05,304.968,1.08991
3e-05,299.929,1.09132
3e-05,294.951,1.09641
3e-05,289.928,1.10526
3e-05,284.937,1.11658
3e-05,279.929,1.12964
3e-05,274.937,1.14428
3e-05,269.922,1.16054
3e-05,264.936,1.17835
3e-05,259.943,1.19794
3e-05,254.925,1.21948
3e-05,249.941,1.24285
3e-05,242.205,1.28945
2.88e-05,314.942,1.04961
2.88e-05,310.026,1.04726
2.88e-05,304.968,1.04638
2.88e-05,299.929,1.04774
2.88e-05,294.951,1.05264
2.88e-05,289.928,1.06113
2.88e-05,284.937,1.07202
2.88e-05,279.929,1.08456
2.88e-05,274.937,1.09862
2.88e-05,269.922,1.11423
2.88e-05,264.936,1.13134
2.88e-05,259.943,1.15016
2.88e-05,254.925,1.17085
2.88e-05,249.941,1.1933
2.88e-05,242.205,1.23806
2.76e-05,314.942,1.00596
2.76e-05,310.026,1.00371
2.76e-05,304.968,1.00287
2.76e-05,299.929,1.00416
2.76e-05,294.951,1.00886
2.76e-05,289.928,1.01701
2.76e-05,284.937,1.02744
2.76e-05,279.929,1.03945
2.76e-05,274.937,1.05294
2.76e-05,269.922,1.06791
2.76e-05,264.936,1.08431
2.76e-05,259.943,1.10237
2.76e-05,254.925,1.1222
2.76e-05,249.941,1.14373
2.76e-05,242.205,1.18665
