I,T,Uraw
2e-05,134.847,2.15363
2e-05,129.975,2.33078
2e-05,125.008,2.53138
2e-05,119.937,2.77186
2e-05,114.997,3.04129
2e-05,109.962,3.36145
2e-05,104.95,3.73712
2e-05,99.8845,4.18862
2e-05,94.8624,4.73659
1.96e-05,134.847,2.11264
1.96e-05,129.975,2.28681
1.96e-05,125.008,2.48406
1.96e-05,119.937,2.72045
1.96e-05,114.997,2.98529
1.96e-05,109.962,3.29997
1.96e-05,104.95,3.66903
1.96e-05,99.8845,4.11283
1.96e-05,94.8624,4.65217
1.96e-05,89.864,4.99998
1.92e-05,134.847,2.07086
1.92e-05,129.975,2.24195
1.92e-05,125.008,2.43573
1.92e-05,119.937,2.6679
1.92e-05,114.997,2.92798
1.92e-05,109.962,3.2369
1.92e-05,104.95,3.59926
1.92e-05,99.8845,4.03473
1.92e-05,94.8624,4.56415
1.92e-05,89.864,4.99117
1.88e-05,134.847,2.02889
1.88e-05,129.975,2.19692
1.88e-05,125.008,2.38724
1.88e-05,119.937,2.61518
1.88e-05,114.997,2.87041
1.88e-05,109.962,3.17364
1.88e-05,104.95,3.52903
1.88e-05,99.8845,3.95627
1.88e-05,94.8624,4.47563
1.88e-05,89.864,4.96607
1.84e-05,134.847,1.98679
1.84e-05,129.975,2.15173
1.84e-05,125.008,2.33852
1.84e-05,119.937,2.56227
1.84e-05,114.997,2.81271
1.84e-05,109.962,3.11007
1.84e-05,104.95,3.45861
1.84e-05,99.8845,3.87764
1.84e-05,94.8624,4.38705
1.84e-05,89.864,4.92444
1.8e-05,134.847,1.94456
1.8e-05,129.975,2.1064
1.8e-05,125.008,2.28965
1.8e-05,119.937,2.50921
1.8e-05,114.997,2.7548
1.8e-05,109.962,3.04645
1.8e-05,104.95,3.38818
1.8e-05,99.8845,3.79872
1.8e-05,94.8624,4.29801
1.8e-05,89.864,4.86502
1.76e-05,134.847,1.9022
1.76e-05,129.975,2.06093
1.76e-05,125.008,2.24063
1.76e-05,119.937,2.45599
1.76e-05,114.997,2.69671
1.76e-05,109.962,2.98262
1.76e-05,104.95,3.3174
1.76e-05,99.8845,3.71972
1.76e-05,94.8624,4.20864
1.76e-05,89.864,4.78931
1.72e-05,134.847,1.85976
1.72e-05,129.975,2.01534
1.72e-05,125.008,2.19149
1.72e-05,119.937,2.40263
1.72e-05,114.997,2.63855
1.72e-05,109.962,2.91862
1.72e-05,104.95,3.24657
1.72e-05,99.8845,3.64055
1.72e-05,94.8624,4.1193
1.72e-05,89.864,4.69583
1.68e-05,134.847,1.81722
1.68e-05,129.975,1.96962
1.68e-05,125.008,2.14222
1.68e-05,119.937,2.34911
1.68e-05,114.997,2.58019
1.68e-05,109.962,2.85454
1.68e-05,104.95,3.17562
1.68e-05,99.8845,3.5613
1.68e-05,94.8624,4.02961
1.68e-05,89.864,4.59391
1.68e-05,84.8398,4.99723
1.64e-05,134.847,1.7746
1.64e-05,129.975,1.92377
1.64e-05,125.008,2.0928
1.64e-05,119.937,2.2954
1.64e-05,114.997,2.52177
1.64e-05,109.962,2.79025
1.64e-05,104.95,3.10439
1.64e-05,99.8845,3.48198
1.64e-05,94.8624,3.9399
1.64e-05,89.864,4.49174
1.64e-05,84.8398,4.97786
1.6e-05,134.847,1.7319
1.6e-05,129.975,1.87783
1.6e-05,125.008,2.04328
1.6e-05,119.937,2.24156
1.6e-05,114.997,2.46313
1.6e-05,109.962,2.72587
1.6e-05,104.95,3.03318
1.6e-05,99.8845,3.40244
1.6e-05,94.8624,3.85021
1.6e-05,89.864,4.3892
1.6e-05,84.8398,4.93975
1.56e-05,134.847,1.68912
1.56e-05,129.975,1.83173
1.56e-05,125.008,1.99355
1.56e-05,119.937,2.18751
1.56e-05,114.997,2.40432
1.56e-05,109.962,2.66132
1.56e-05,104.95,2.96173
1.56e-05,99.8845,3.32264
1.56e-05,94.8624,3.76011
1.56e-05,89.864,4.28623
1.56e-05,84.8398,4.88012
1.52e-05,134.847,1.64625
1.52e-05,129.975,1.78556
1.52e-05,125.008,1.94373
1.52e-05,119.937,2.13337
1.52e-05,114.997,2.34535
1.52e-05,109.962,2.59653
1.52e-05,104.95,2.89004
1.52e-05,99.8845,3.24254
1.52e-05,94.8624,3.66969
1.52e-05,89.864,4.18306
1.52e-05,84.8398,4.80098
1.48e-05,134.847,1.60334
1.48e-05,129.975,1.73925
1.48e-05,125.008,1.89373
1.48e-05,119.937,2.07904
1.48e-05,114.997,2.28613
1.48e-05,109.962,2.53167
1.48e-05,104.95,2.81838
1.48e-05,99.8845,3.16247
1.48e-05,94.8624,3.57922
1.48e-05,89.864,4.08021
1.48e-05,84.8398,4.6998
1.44e-05,134.847,1.56037
1.44e-05,129.975,1.69286
1.44e-05,125.008,1.84357
1.44e-05,119.937,2.0245
1.44e-05,114.997,2.22676
1.44e-05,109.962,2.46657
1.44e-05,104.95,2.74642
1.44e-05,99.8845,3.08212
1.44e-05,94.8624,3.48853
1.44e-05,89.864,3.97703
1.44e-05,84.8398,4.58166
1.44e-05,80.0331,4.99883
1.4e-05,134.847,1.51735
1.4e-05,129.975,1.64638
1.4e-05,125.008,1.79329
1.4e-05,119.937,1.96985
1.4e-05,114.997,2.1672
1.4e-05,109.962,2.40121
1.4e-05,104.95,2.67423
1.4e-05,99.8845,3.00146
1.4e-05,94.8624,3.39783
1.4e-05,89.864,3.87356
1.4e-05,84.8398,4.4622
1.4e-05,80.0331,4.97081
1.36e-05,134.847,1.47428
1.36e-05,129.975,1.59981
1.36e-05,125.008,1.74285
1.36e-05,119.937,1.91497
1.36e-05,114.997,2.10738
1.36e-05,109.962,2.33569
1.36e-05,104.95,2.60195
1.36e-05,99.8845,2.9208
1.36e-05,94.8624,3.3068
1.36e-05,89.864,3.77
1.36e-05,84.8398,4.34255
1.36e-05,80.0331,4.91878
1.32e-05,134.847,1.43117
1.32e-05,129.975,1.55317
1.32e-05,125.008,1.69232
1.32e-05,119.937,1.8599
1.32e-05,114.997,2.04745
1.32e-05,109.962,2.26981
1.32e-05,104.95,2.52932
1.32e-05,99.8845,2.8398
1.32e-05,94.8624,3.21559
1.32e-05,89.864,3.66601
1.32e-05,84.8398,4.22328
1.32e-05,80.0331,4.84078
1.28e-05,134.847,1.38803
1.28e-05,129.975,1.50646
1.28e-05,125.008,1.64163
1.28e-05,119.937,1.80469
1.28e-05,114.997,1.98721
1.28e-05,109.962,2.20374
1.28e-05,104.95,2.45649
1.28e-05,99.8845,2.75856
1.28e-05,94.8624,3.12414
1.28e-05,89.864,3.56188
1.28e-05,84.8398,4.10367
1.28e-05,80.0331,4.73499
1.24e-05,134.847,1.34485
1.24e-05,129.975,1.4597
1.24e-05,125.008,1.59086
1.24e-05,119.937,1.74922
1.24e-05,114.997,1.92677
1.24e-05,109.962,2.13746
1.24e-05,104.95,2.38342
1.24e-05,99.8845,2.67729
1.24e-05,94.8624,3.03242
1.24e-05,89.864,3.45776
1.24e-05,84.8398,3.98378
1.24e-05,80.0331,4.60331
1.2e-05,134.847,1.30164
1.2e-05,129.975,1.41287
1.2e-05,125.008,1.54001
1.2e-05,119.937,1.69364
1.2e-05,114.997,1.86609
1.2e-05,109.962,2.07084
1.2e-05,104.95,2.30994
1.2e-05,99.8845,2.59569
1.2e-05,94.8624,2.94029
1.2e-05,89.864,3.35359
1.2e-05,84.8398,3.86355
1.2e-05,80.0331,4.46479
1.2e-05,74.8957,4.99139
1.16e-05,134.847,1.25841
1.16e-05,129.975,1.36603
1.16e-05,125.008,1.48907
1.16e-05,119.937,1.63787
1.16e-05,114.997,1.80513
1.16e-05,109.962,2.00405
1.16e-05,104.95,2.23622
1.16e-05,99.8845,2.51382
1.16e-05,94.8624,2.84793
1.16e-05,89.864,3.24898
1.16e-05,84.8398,3.74296
1.16e-05,80.0331,4.32598
1.16e-05,74.8957,4.95269
1.12e-05,134.847,1.21514
1.12e-05,129.975,1.31914
1.12e-05,125.008,1.43807
1.12e-05,119.937,1.58199
1.12e-05,114.997,1.744
1.12e-05,109.962,1.93688
1.12e-05,104.95,2.16218
1.12e-05,99.8845,2.43168
1.12e-05,94.8624,2.75523
1.12e-05,89.864,3.14389
1.12e-05,84.8398,3.62192
1.12e-05,80.0331,4.18662
1.12e-05,74.8957,4.8786
1.08e-05,134.847,1.17186
1.08e-05,129.975,1.27219
1.08e-05,125.008,1.38698
1.08e-05,119.937,1.52599
1.08e-05,114.997,1.68254
1.08e-05,109.962,1.86936
1.08e-05,104.95,2.08774
1.08e-05,99.8845,2.34902
1.08e-05,94.8624,2.66237
1.08e-05,89.864,3.03846
1.08e-05,84.8398,3.5009
1.08e-05,80.0331,4.04631
1.08e-05,74.8957,4.7662
1.04e-05,134.847,1.12854
1.04e-05,129.975,1.22523
1.04e-05,125.008,1.33586
1.04e-05,119.937,1.46989
1.04e-05,114.997,1.62099
1.04e-05,109.962,1.80157
1.04e-05,104.95,2.01307
1.04e-05,99.8845,2.26597
1.04e-05,94.8624,2.56913
1.04e-05,89.864,2.93281
1.04e-05,84.8398,3.3796
1.04e-05,80.0331,3.90579
1.04e-05,74.8957,4.61305
1e-05,134.847,1.08522
1e-05,129.975,1.17821
1e-05,125.008,1.28468
1e-05,119.937,1.4137
1e-05,114.997,1.55922
1e-05,109.962,1.73339
1e-05,104.95,1.93787
1e-05,99.8845,2.18244
1e-05,94.8624,2.47551
1e-05,89.864,2.82695
1e-05,84.8398,3.25819
1e-05,80.0331,3.7651
1e-05,74.8957,4.44723
1e-05,69.8822,4.98474
9.6e-06,134.847,1.04187
9.6e-06,129.975,1.13119
9.6e-06,125.008,1.23344
9.6e-06,119.937,1.35742
9.6e-06,114.997,1.49734
9.6e-06,109.962,1.66496
9.6e-06,104.95,1.86224
9.6e-06,99.8845,2.09847
9.6e-06,94.8624,2.38157
9.6e-06,89.864,2.721
9.6e-06,84.8398,3.13629
9.6e-06,80.0331,3.62411
9.6e-06,74.8957,4.28128
9.6e-06,69.8822,4.92576
9.2e-06,134.847,0.998616
9.2e-06,129.975,1.08414
9.2e-06,125.008,1.18218
9.2e-06,119.937,1.30109
9.2e-06,114.997,1.43536
9.2e-06,109.962,1.5963
9.2e-06,104.95,1.78627
9.2e-06,99.8845,2.01409
9.2e-06,94.8624,2.28713
9.2e-06,89.864,2.61446
9.2e-06,84.8398,3.01352
9.2e-06,80.0331,3.48262
9.2e-06,74.8957,4.11447
9.2e-06,69.8822,4.81761
8.8e-06,134.847,0.955396
8.8e-06,129.975,1.03709
8.8e-06,125.008,1.13089
8.8e-06,119.937,1.24468
8.8e-06,114.997,1.37325
8.8e-06,109.962,1.52743
8.8e-06,104.95,1.7098
8.8e-06,99.8845,1.92923
8.8e-06,94.8624,2.19221
8.8e-06,89.864,2.50726
8.8e-06,84.8398,2.89019
8.8e-06,80.0331,3.34078
8.8e-06,74.8957,3.94704
8.8e-06,69.8822,4.65739
8.4e-06,134.847,0.912026
8.4e-06,129.975,0.99016
8.4e-06,125.008,1.07959
8.4e-06,119.937,1.18826
8.4e-06,114.997,1.3111
8.4e-06,109.962,1.45845
8.4e-06,104.95,1.63298
8.4e-06,99.8845,1.84375
8.4e-06,94.8624,2.09678
8.4e-06,89.864,2.39942
8.4e-06,84.8398,2.76698
8.4e-06,80.0331,3.19863
8.4e-06,74.8957,3.77909
8.4e-06,69.8822,4.46089
8.4e-06,64.8879,4.99537
8e-06,134.847,0.868642
8e-06,129.975,0.943163
8e-06,125.008,1.02827
8e-06,119.937,1.1318
8e-06,114.997,1.24883
8e-06,109.962,1.38932
8e-06,104.95,1.55593
8e-06,99.8845,1.75766
8e-06,94.8624,2.00062
8e-06,89.864,2.29084
8e-06,84.8398,2.64307
8e-06,80.0331,3.05603
8e-06,74.8957,3.61111
8e-06,69.8822,4.26281
8e-06,64.8879,4.94304
7.6e-06,134.847,0.825264
7.6e-06,129.975,0.896079
7.6e-06,125.008,0.977094
7.6e-06,119.937,1.07532
7.6e-06,114.997,1.1866
7.6e-06,109.962,1.32013
7.6e-06,104.95,1.47862
7.6e-06,99.8845,1.67111
7.6e-06,94.8624,1.90374
7.6e-06,89.864,2.18166
7.6e-06,84.8398,2.51863
7.6e-06,80.0331,2.91315
7.6e-06,74.8957,3.4427
7.6e-06,69.8822,4.0639
7.6e-06,64.8879,4.82796
7.2e-06,134.847,0.781871
7.2e-06,129.975,0.848974
7.2e-06,125.008,0.925805
7.2e-06,119.937,1.01889
7.2e-06,114.997,1.12428
7.2e-06,109.962,1.25088
7.2e-06,104.95,1.40119
7.2e-06,99.8845,1.58408
7.2e-06,94.8624,1.80617
7.2e-06,89.864,2.07184
7.2e-06,84.8398,2.39355
7.2e-06,80.0331,2.76918
7.2e-06,74.8957,3.27352
7.2e-06,69.8822,3.86425
7.2e-06,64.8879,4.64619
6.8e-06,134.847,0.738472
6.8e-06,129.975,0.801854
6.8e-06,125.008,0.874446
6.8e-06,119.937,0.962527
6.8e-06,114.997,1.06192
6.8e-06,109.962,1.18156
6.8e-06,104.95,1.32369
6.8e-06,99.8845,1.49671
6.8e-06,94.8624,1.7077
6.8e-06,89.864,1.96103
6.8e-06,84.8398,2.2674
6.8e-06,80.0331,2.62457
6.8e-06,74.8957,3.10325
6.8e-06,69.8822,3.6638
6.8e-06,64.8879,4.409
6.8e-06,59.8728,4.99673
6.4e-06,134.847,0.695062
6.4e-06,129.975,0.754739
6.4e-06,125.008,0.823073
6.4e-06,119.937,0.906036
6.4e-06,114.997,0.999674
6.4e-06,109.962,1.11222
6.4e-06,104.95,1.24604
6.4e-06,99.8845,1.40918
6.4e-06,94.8624,1.60863
6.4e-06,89.864,1.84912
6.4e-06,84.8398,2.14033
6.4e-06,80.0331,2.47926
6.4e-06,74.8957,2.93227
6.4e-06,69.8822,3.46272
6.4e-06,64.8879,4.16752
6.4e-06,59.8728,4.93376
6e-06,134.847,0.651643
6e-06,129.975,0.707598
6e-06,125.008,0.771683
6e-06,119.937,0.849474
6e-06,114.997,0.937421
6e-06,109.962,1.04284
6e-06,104.95,1.16837
6e-06,99.8845,1.32148
6e-06,94.8624,1.50912
6e-06,89.864,1.73604
6e-06,84.8398,2.01216
6e-06,80.0331,2.33272
6e-06,74.8957,2.76054
6e-06,69.8822,3.2606
6e-06,64.8879,3.92455
6e-06,59.8728,4.78332
5.6e-06,134.847,0.608223
5.6e-06,129.975,0.660456
5.6e-06,125.008,0.720281
5.6e-06,119.937,0.79291
5.6e-06,114.997,0.875036
5.6e-06,109.962,0.973589
5.6e-06,104.95,1.09067
5.6e-06,99.8845,1.23369
5.6e-06,94.8624,1.40924
5.6e-06,89.864,1.62191
5.6e-06,84.8398,1.88284
5.6e-06,80.0331,2.18493
5.6e-06,74.8957,2.58797
5.6e-06,69.8822,3.0576
5.6e-06,64.8879,3.68043
5.6e-06,59.8728,4.53605
5.2e-06,134.847,0.564796
5.2e-06,129.975,0.613313
5.2e-06,125.008,0.668876
5.2e-06,119.937,0.736326
5.2e-06,114.997,0.812608
5.2e-06,109.962,0.90425
5.2e-06,104.95,1.01295
5.2e-06,99.8845,1.1458
5.2e-06,94.8624,1.30908
5.2e-06,89.864,1.50708
5.2e-06,84.8398,1.75206
5.2e-06,80.0331,2.03582
5.2e-06,74.8957,2.41427
5.2e-06,69.8822,2.8535
5.2e-06,64.8879,3.43542
5.2e-06,59.8728,4.23529
5.2e-06,54.8844,4.97293
4.8e-06,134.847,0.521361
4.8e-06,129.975,0.566159
4.8e-06,125.008,0.617457
4.8e-06,119.937,0.679739
4.8e-06,114.997,0.750166
4.8e-06,109.962,0.834792
4.8e-06,104.95,0.935366
4.8e-06,99.8845,1.05786
4.8e-06,94.8624,1.20877
4.8e-06,89.864,1.39187
4.8e-06,84.8398,1.61972
4.8e-06,80.0331,1.88517
4.8e-06,74.8957,2.23902
4.8e-06,69.8822,2.64834
4.8e-06,64.8879,3.18886
4.8e-06,59.8728,3.93187
4.8e-06,54.8844,4.83099
4.4e-06,134.847,0.477917
4.4e-06,129.975,0.518993
4.4e-06,125.008,0.566029
4.4e-06,119.937,0.623138
4.4e-06,114.997,0.687731
4.4e-06,109.962,0.765315
4.4e-06,104.95,0.857559
4.4e-06,99.8845,0.970021
4.4e-06,94.8624,1.10837
4.4e-06,89.864,1.27635
4.4e-06,84.8398,1.48625
4.4e-06,80.0331,1.73238
4.4e-06,74.8957,2.06185
4.4e-06,69.8822,2.44146
4.4e-06,64.8879,2.94094
4.4e-06,59.8728,3.62671
4.4e-06,54.8844,4.55026
4e-06,134.847,0.434465
4e-06,129.975,0.471813
4e-06,125.008,0.514589
4e-06,119.937,0.566509
4e-06,114.997,0.625237
4e-06,109.962,0.695807
4e-06,104.95,0.779685
4e-06,99.8845,0.882067
4e-06,94.8624,1.0079
4e-06,89.864,1.16064
4e-06,84.8398,1.3522
4e-06,80.0331,1.5776
4e-06,74.8957,1.88228
4e-06,69.8822,2.2322
4e-06,64.8879,2.69137
4e-06,59.8728,3.31952
4e-06,54.8844,4.16953
4e-06,49.8972,4.97138
3.6e-06,134.847,0.391008
3.6e-06,129.975,0.424624
3.6e-06,125.008,0.463132
3.6e-06,119.937,0.509879
3.6e-06,114.997,0.562762
3.6e-06,109.962,0.626275
3.6e-06,104.95,0.701806
3.6e-06,99.8845,0.793979
3.6e-06,94.8624,0.907492
3.6e-06,89.864,1.04488
3.6e-06,84.8398,1.21752
3.6e-06,80.0331,1.42144
3.6e-06,74.8957,1.69958
3.6e-06,69.8822,2.02047
3.6e-06,64.8879,2.43929
3.6e-06,59.8728,3.01049
3.6e-06,54.8844,3.78227
3.6e-06,49.8972,4.77174
3.2e-06,134.847,0.347546
3.2e-06,129.975,0.377438
3.2e-06,125.008,0.411671
3.2e-06,119.937,0.453232
3.2e-06,114.997,0.500264
3.2e-06,109.962,0.556739
3.2e-06,104.95,0.623908
3.2e-06,99.8845,0.705902
3.2e-06,94.8624,0.806896
3.2e-06,89.864,0.929223
3.2e-06,84.8398,1.08281
3.2e-06,80.0331,1.26454
3.2e-06,74.8957,1.51409
3.2e-06,69.8822,1.8052
3.2e-06,64.8879,2.18408
3.2e-06,59.8728,2.69904
3.2e-06,54.8844,3.39177
3.2e-06,49.8972,4.35401
3.2e-06,44.9657,4.99997
2.8e-06,134.847,0.304082
2.8e-06,129.975,0.33024
2.8e-06,125.008,0.360201
2.8e-06,119.937,0.396579
2.8e-06,114.997,0.437738
2.8e-06,109.962,0.487172
2.8e-06,104.95,0.545971
2.8e-06,99.8845,0.617755
2.8e-06,94.8624,0.706153
2.8e-06,89.864,0.813428
2.8e-06,84.8398,0.948151
2.8e-06,80.0331,1.10731
2.8e-06,74.8957,1.32679
2.8e-06,69.8822,1.58528
2.8e-06,64.8879,1.92514
2.8e-06,59.8728,2.38376
2.8e-06,54.8844,2.99757
2.8e-06,49.8972,3.85237
2.8e-06,44.9657,4.86169
2.4e-06,134.847,0.260607
2.4e-06,129.975,0.283035
2.4e-06,125.008,0.308723
2.4e-06,119.937,0.339907
2.4e-06,114.997,0.375209
2.4e-06,109.962,0.417581
2.4e-06,104.95,0.468015
2.4e-06,99.8845,0.529559
2.4e-06,94.8624,0.60539
2.4e-06,89.864,0.697469
2.4e-06,84.8398,0.813184
2.4e-06,80.0331,0.949803
2.4e-06,74.8957,1.13858
2.4e-06,69.8822,1.36177
2.4e-06,64.8879,1.66004
2.4e-06,59.8728,2.0632
2.4e-06,54.8844,2.59953
2.4e-06,49.8972,3.34282
2.4e-06,44.9657,4.37745
2.4e-06,39.9666,4.99999
2e-06,134.847,0.217132
2e-06,129.975,0.235823
2e-06,125.008,0.257225
2e-06,119.937,0.28322
2e-06,114.997,0.312641
2e-06,109.962,0.347966
2e-06,104.95,0.39
2e-06,99.8845,0.441336
2e-06,94.8624,0.504582
2e-06,89.864,0.581473
2e-06,84.8398,0.677964
2e-06,80.0331,0.792111
2e-06,74.8957,0.949623
2e-06,69.8822,1.13645
2e-06,64.8879,1.38856
2e-06,59.8728,1.7353
2e-06,54.8844,2.19455
2e-06,49.8972,2.82722
2e-06,44.9657,3.7138
2e-06,39.9666,4.8211
2e-06,34.9305,4.99999
1.6e-06,134.847,0.173645
1.6e-06,129.975,0.18859
1.6e-06,125.008,0.205723
1.6e-06,119.937,0.226527
1.6e-06,114.997,0.25007
1.6e-06,109.962,0.278322
1.6e-06,104.95,0.311953
1.6e-06,99.8845,0.353049
1.6e-06,94.8624,0.403663
1.6e-06,89.864,0.465266
1.6e-06,84.8398,0.54251
1.6e-06,80.0331,0.634096
1.6e-06,74.8957,0.760224
1.6e-06,69.8822,0.910024
1.6e-06,64.8879,1.11361
1.6e-06,59.8728,1.39635
1.6e-06,54.8844,1.77929
1.6e-06,49.8972,2.30178
1.6e-06,44.9657,3.02483
1.6e-06,39.9666,4.0997
1.6e-06,34.9305,4.98796
1.6e-06,29.9534,4.99998
1.2e-06,134.847,0.130159
1.2e-06,129.975,0.141371
1.2e-06,125.008,0.154213
1.2e-06,119.937,0.169821
1.2e-06,114.997,0.187492
1.2e-06,109.962,0.208696
1.2e-06,104.95,0.233925
1.2e-06,99.8845,0.264762
1.2e-06,94.8624,0.302748
1.2e-06,89.864,0.349004
1.2e-06,84.8398,0.407029
1.2e-06,80.0331,0.475898
1.2e-06,74.8957,0.570876
1.2e-06,69.8822,0.683299
1.2e-06,64.8879,0.836099
1.2e-06,59.8728,1.052
1.2e-06,54.8844,1.34815
1.2e-06,49.8972,1.7612
1.2e-06,44.9657,2.33262
1.2e-06,39.9666,3.18025
1.2e-06,34.9305,4.39408
1.2e-06,29.9534,4.99868
1.2e-06,24.9541,4.99998
8e-07,134.847,0.0866979
8e-07,129.975,0.0941626
8e-07,125.008,0.102707
8e-07,119.937,0.113108
8e-07,114.997,0.124886
8e-07,109.962,0.139025
8e-07,104.95,0.155854
8e-07,99.8845,0.176428
8e-07,94.8624,0.201772
8e-07,89.864,0.232664
8e-07,84.8398,0.271394
8e-07,80.0331,0.317504
8e-07,74.8957,0.380937
8e-07,69.8822,0.456522
8e-07,64.8879,0.55892
8e-07,59.8728,0.702055
8e-07,54.8844,0.905541
8e-07,49.8972,1.19383
8e-07,44.9657,1.61146
8e-07,39.9666,2.22327
8e-07,34.9305,3.14561
8e-07,29.9534,4.38081
8e-07,24.9541,4.99831
4e-07,134.847,0.0432148
4e-07,129.975,0.0469399
4e-07,125.008,0.0512049
4e-07,119.937,0.0564071
4e-07,114.997,0.0623091
4e-07,109.962,0.069352
4e-07,104.95,0.0777612
4e-07,99.8845,0.0880459
4e-07,94.8624,0.100734
4e-07,89.864,0.116249
4e-07,84.8398,0.135678
4e-07,80.0331,0.158836
4e-07,74.8957,0.190812
4e-07,69.8822,0.229139
4e-07,64.8879,0.281155
4e-07,59.8728,0.354881
4e-07,54.8844,0.45322
4e-07,49.8972,0.609904
4e-07,44.9657,0.834485
4e-07,39.9666,1.19705
4e-07,34.9305,1.78269
4e-07,29.9534,2.72108
4e-07,24.9541,3.88163
4e-07,19.9339,4.91711
4e-07,14.8587,4.99999
0.0,134.847,-0.000284607
0.0,129.975,-0.000291075
0.0,125.008,-0.000289841
0.0,119.937,-0.00026565
0.0,114.997,-0.00022294
0.0,109.962,-0.000232147
0.0,104.95,-0.000188773
0.0,99.8845,-0.000294473
0.0,94.8624,-0.000328667
0.0,89.864,-0.000299907
0.0,84.8398,-0.000228967
0.0,80.0331,-0.000116621
0.0,74.8957,0.000157093
0.0,69.8822,0.000863614
0.0,64.8879,0.002127
0.0,59.8728,0.00464867
0.0,54.8844,0.0114783
0.0,49.8972,0.014361
0.0,44.9657,0.0247186
0.0,39.9666,0.0865018
0.0,34.9305,0.256525
0.0,29.9534,0.584847
0.0,24.9541,1.29153
0.0,19.9339,2.37773
0.0,14.8587,3.40716
0.0,9.88334,4.28842
-4e-07,134.847,-0.0437975
-4e-07,129.975,-0.0475555
-4e-07,125.008,-0.0518342
-4e-07,119.937,-0.0570288
-4e-07,114.997,-0.0628955
-4e-07,109.962,-0.0699767
-4e-07,104.95,-0.0783505
-4e-07,99.8845,-0.0885688
-4e-07,94.8624,-0.101088
-4e-07,89.864,-0.116343
-4e-07,84.8398,-0.135218
-4e-07,80.0331,-0.157639
-4e-07,74.8957,-0.188772
-4e-07,69.8822,-0.228003
-4e-07,64.8879,-0.277463
-4e-07,59.8728,-0.346838
