I,T,Uraw
0.0009,44.8443,1.99999
0.0009,43.8516,1.99999
0.0009,42.8674,1.99998
0.0009,41.8756,1.99996
0.0009,40.8459,1.99993
0.0009,39.8681,1.99986
0.0009,38.8908,1.99974
0.0009,37.8354,1.99948
0.0009,36.8724,1.9991
0.0009,35.8944,1.99836
0.0009,34.8688,1.99718
0.0009,33.8465,1.99522
0.0009,32.8819,1.9917
0.0009,31.9171,1.98582
0.0009,30.8945,1.97926
0.0009,29.8806,1.97313
0.0009,28.8665,1.96759
0.0009,27.8557,1.96251
0.0009,26.8375,1.958
0.0009,25.8253,1.95428
0.0009,24.8168,1.95113
0.0009,23.8164,1.94878
0.0009,22.8147,1.94712
0.0009,21.8101,1.94618
0.0009,20.8028,1.9461
0.0009,19.8227,1.94672
0.0009,18.8585,1.94849
0.0009,17.8725,1.95187
0.0009,16.8771,1.95519
0.0009,15.8816,1.96007
0.0009,14.8815,1.96497
0.0009,13.88,1.97477
0.0009,12.8751,1.98185
0.0009,11.8696,1.98821
0.0009,10.8511,1.99416
0.0009,9.83378,1.99799
0.0009,8.81535,1.99928
0.0009,7.85535,1.99919
0.0009,6.88678,1.99956
0.0009,5.86279,1.9997
0.0009,4.85541,1.99989
0.0009,4.00321,1.99994
0.0008,68.8623,1.99999
0.0008,67.8628,1.99999
0.0008,66.8537,1.99999
0.0008,65.8449,1.99997
0.0008,64.8596,1.99994
0.0008,63.8032,1.99985
0.0008,62.8451,1.99978
0.0008,61.8451,1.99963
0.0008,60.8461,1.99937
0.0008,59.9084,1.99884
0.0008,58.9086,1.99806
0.0008,57.8729,1.99548
0.0008,56.8703,1.99029
0.0008,55.8698,1.9831
0.0008,54.8674,1.97602
0.0008,53.8683,1.96547
0.0008,52.8797,1.95067
0.0008,51.9032,1.93997
0.0008,50.8537,1.93036
0.0008,49.8507,1.92279
0.0008,48.839,1.90945
0.0008,47.8607,1.90408
0.0008,46.8725,1.89289
0.0008,45.8338,1.88422
0.0008,44.8443,1.87316
0.0008,43.8516,1.86277
0.0008,42.8674,1.85372
0.0008,41.8756,1.84388
0.0008,40.8459,1.83482
0.0008,39.8681,1.82654
0.0008,38.8908,1.81944
0.0008,37.8354,1.81036
0.0008,36.8724,1.80326
0.0008,35.8944,1.7954
0.0008,34.8688,1.78808
0.0008,33.8465,1.78109
0.0008,32.8819,1.77479
0.0008,31.9171,1.76855
0.0008,30.8945,1.76253
0.0008,29.8806,1.75705
0.0008,28.8665,1.75209
0.0008,27.8557,1.74755
0.0008,26.8375,1.7435
0.0008,25.8253,1.7402
0.0008,24.8168,1.7374
0.0008,23.8164,1.7353
0.0008,22.8147,1.73384
0.0008,21.8101,1.73303
0.0008,20.8028,1.73296
0.0008,19.8227,1.73355
0.0008,18.8585,1.73515
0.0008,17.8725,1.73822
0.0008,16.8771,1.74122
0.0008,15.8816,1.74564
0.0008,14.8815,1.75009
0.0008,13.88,1.75892
0.0008,12.8751,1.76541
0.0008,11.8696,1.77153
0.0008,10.8511,1.77932
0.0008,9.83378,1.80462
0.0008,8.81535,1.81585
0.0008,7.85535,1.81006
0.0008,6.88678,1.81537
0.0008,5.86279,1.82024
0.0008,4.85541,1.83367
0.0008,4.00321,1.83234
0.0007,98.8402,1.99999
0.0007,97.8523,1.99999
0.0007,96.8605,1.99999
0.0007,95.8819,1.99998
0.0007,94.9116,1.99997
0.0007,93.8629,1.99995
0.0007,92.8699,1.99991
0.0007,91.8738,1.99983
0.0007,90.8821,1.99973
0.0007,89.9024,1.99972
0.0007,88.8529,1.99941
0.0007,87.8574,1.99892
0.0007,86.8651,1.99857
0.0007,85.8689,1.99757
0.0007,84.8701,1.99613
0.0007,83.8732,1.99221
0.0007,82.9029,1.98583
0.0007,81.8546,1.97637
0.0007,80.8675,1.96785
0.0007,79.8568,1.95912
0.0007,78.8418,1.94917
0.0007,77.8643,1.93999
0.0007,76.8219,1.9305
0.0007,75.8314,1.92146
0.0007,74.8945,1.91281
0.0007,73.8955,1.90405
0.0007,72.8431,1.89419
0.0007,71.8323,1.88515
0.0007,70.8463,1.87592
0.0007,69.8628,1.86773
0.0007,68.8623,1.85787
0.0007,67.8628,1.84883
0.0007,66.8537,1.83921
0.0007,65.8449,1.82958
0.0007,64.8596,1.82046
0.0007,63.8032,1.80963
0.0007,62.8451,1.80089
0.0007,61.8451,1.79419
0.0007,60.8461,1.78517
0.0007,59.9084,1.77608
0.0007,58.9086,1.76678
0.0007,57.8729,1.7553
0.0007,56.8703,1.74632
0.0007,55.8698,1.73916
0.0007,54.8674,1.73284
0.0007,53.8683,1.72352
0.0007,52.8797,1.71055
0.0007,51.9032,1.70112
0.0007,50.8537,1.69266
0.0007,49.8507,1.68595
0.0007,48.839,1.67426
0.0007,47.8607,1.66952
0.0007,46.8725,1.65967
0.0007,45.8338,1.65204
0.0007,44.8443,1.6423
0.0007,43.8516,1.63315
0.0007,42.8674,1.62519
0.0007,41.8756,1.61654
0.0007,40.8459,1.60857
0.0007,39.8681,1.60128
0.0007,38.8908,1.59502
0.0007,37.8354,1.58703
0.0007,36.8724,1.58076
0.0007,35.8944,1.57386
0.0007,34.8688,1.56742
0.0007,33.8465,1.56126
0.0007,32.8819,1.55571
0.0007,31.9171,1.55023
0.0007,30.8945,1.54493
0.0007,29.8806,1.5401
0.0007,28.8665,1.53574
0.0007,27.8557,1.53174
0.0007,26.8375,1.52818
0.0007,25.8253,1.52528
0.0007,24.8168,1.52282
0.0007,23.8164,1.521
0.0007,22.8147,1.51973
0.0007,21.8101,1.51904
0.0007,20.8028,1.51899
0.0007,19.8227,1.51954
0.0007,18.8585,1.52096
0.0007,17.8725,1.52371
0.0007,16.8771,1.52639
0.0007,15.8816,1.53033
0.0007,14.8815,1.53433
0.0007,13.88,1.54217
0.0007,12.8751,1.54794
0.0007,11.8696,1.55343
0.0007,10.8511,1.56039
0.0007,9.83378,1.58258
0.0007,8.81535,1.5927
0.0007,7.85535,1.58782
0.0007,6.88678,1.5927
0.0007,5.86279,1.5972
0.0007,4.85541,1.60918
0.0007,4.00321,1.60818
0.0006,149.87,1.99999
0.0006,147.828,1.99999
0.0006,145.898,1.99999
0.0006,144.885,1.99999
0.0006,143.857,1.99999
0.0006,142.872,1.99998
0.0006,141.88,1.99999
0.0006,140.897,1.99998
0.0006,139.922,1.99998
0.0006,138.909,1.99996
0.0006,137.896,1.99996
0.0006,136.85,1.99995
0.0006,135.86,1.99994
0.0006,134.885,1.99992
0.0006,133.85,1.99989
0.0006,132.824,1.9998
0.0006,131.861,1.99972
0.0006,130.882,1.99973
0.0006,129.853,1.99955
0.0006,128.87,1.99936
0.0006,127.887,1.99923
0.0006,126.846,1.99862
0.0006,125.825,1.9979
0.0006,124.868,1.99734
0.0006,123.886,1.99746
0.0006,122.891,1.99554
0.0006,121.894,1.99227
0.0006,120.871,1.98792
0.0006,119.855,1.98019
0.0006,118.892,1.97944
0.0006,117.901,1.9688
0.0006,116.846,1.95461
0.0006,115.857,1.94778
0.0006,114.878,1.94111
0.0006,113.845,1.93409
0.0006,112.828,1.92691
0.0006,111.857,1.91998
0.0006,110.863,1.91296
0.0006,109.869,1.90604
0.0006,108.913,1.8992
0.0006,107.881,1.89185
0.0006,106.9,1.88492
0.0006,105.909,1.8779
0.0006,104.875,1.87043
0.0006,103.884,1.86329
0.0006,102.893,1.85641
0.0006,101.856,1.84949
0.0006,100.83,1.84168
0.0006,99.8397,1.83464
0.0006,98.8402,1.82678
0.0006,97.8523,1.81946
0.0006,96.8605,1.81245
0.0006,95.8819,1.80682
0.0006,94.9116,1.79976
0.0006,93.8629,1.79173
0.0006,92.8699,1.78684
0.0006,91.8738,1.77685
0.0006,90.8821,1.76756
0.0006,89.9024,1.76943
0.0006,88.8529,1.75193
